SquadIn,Player,Nation,Pos,Value,SquadOut,Fee
Wolverhampton Wanderers,Pedro Neto,PRT,FW,35000000,SS Lazio,17900000
Wolverhampton Wanderers,Bruno Jordão,PRT,MF,2500000,SS Lazio,8900000
Everton FC,Alex Iwobi,NGA,FW,22000000,Arsenal FC,30400000
Everton FC,Moise Kean,ITA,FW,35000000,Juventus FC,27500000
Everton FC,André Gomes,PRT,MF,20000000,FC Barcelona,25000000
Everton FC,Jean-Philippe Gbamin,CIV,MF,15000000,1.FSV Mainz 05,25000000
Everton FC,Fabian Delph,ENG,MF,3500000,Manchester City,9500000
Everton FC,Jonas Lössl,DNK,GK,1500000,Huddersfield Town,NA
Leicester City,Youri Tielemans,BEL,MF,55000000,AS Monaco,45000000
Leicester City,Ayoze Pérez,ESP,FW,18000000,Newcastle United,33400000
Leicester City,Dennis Praet,BEL,MF,18000000,UC Sampdoria,19200000
West Ham United,Sébastien Haller,CIV,FW,27000000,Eintracht Frankfurt,50000000
West Ham United,Pablo Fornals,ESP,MF,18000000,Villarreal CF,28000000
Watford FC,Ismaïla Sarr,SEN,FW,22000000,Stade Rennais FC,30000000
Watford FC,Ignacio Pussetto,ARG,FW,5000000,Udinese Calcio,8500000
Watford FC,João Pedro,BRA,FW,10000000,Fluminense Football Club,4000000
Watford FC,Danny Welbeck,ENG,FW,4000000,Arsenal FC,NA
Crystal Palace,James McCarthy,IRL,MF,3000000,Everton FC,3300000
Crystal Palace,Gary Cahill,ENG,DF,1500000,Chelsea FC,NA
Newcastle United,Joelinton,BRA,FW,17000000,TSG 1899 Hoffenheim,44000000
Newcastle United,Allan Saint-Maximin,FRA,FW,30000000,OGC Nice,18000000
Newcastle United,Emil Krafth,SWE,DF,3500000,Amiens SC,5400000
Newcastle United,Andy Carroll,ENG,FW,1500000,West Ham United,NA
AFC Bournemouth,Philip Billing,DNK,MF,10000000,Huddersfield Town,16500000
Burnley FC,Erik Pieters,NLD,DF,1500000,Stoke City,1100000
Southampton FC,Danny Ings,ENG,FW,22000000,Liverpool FC,25100000
Brighton & Hove Albion,Aaron Mooy,AUS,MF,7500000,Huddersfield Town,3300000
Atalanta BC,Luis Muriel,COL,FW,30000000,Sevilla FC,21200000
Bologna FC 1909,Riccardo Orsolini,ITA,FW,15000000,Juventus FC,15000000
Bologna FC 1909,Nicola Sansone,ITA,FW,3800000,Villarreal CF,8000000
Bologna FC 1909,Roberto Soriano,ITA,MF,10000000,Villarreal CF,8000000
Bologna FC 1909,Mattia Bani,ITA,DF,3000000,Chievo Verona,2700000
Bologna FC 1909,Emanuel Vignato,ITA,FW,6000000,Chievo Verona,1100000
Bologna FC 1909,Danilo,BRA,DF,600000,Udinese Calcio,415000
Bologna FC 1909,Musa Juwara,GMB,FW,1000000,Bologna Primavera,NA
Cagliari Calcio,Alberto Cerri,ITA,FW,1500000,Juventus FC,9000000
Cagliari Calcio,Fabrizio Cacciatore,ITA,DF,200000,Chievo Verona,800000
ACF Fiorentina,Erick Pulgar,CHL,MF,9000000,Bologna FC 1909,12300000
ACF Fiorentina,Kevin-Prince Boateng,GHA,MF,2000000,US Sassuolo,1500000
ACF Fiorentina,Franck Ribéry,FRA,FW,3000000,Bayern Munich,NA
ACF Fiorentina,Pietro Terracciano,ITA,GK,800000,Empoli FC,NA
ACF Fiorentina,Martín Cáceres,URY,DF,1000000,SS Lazio,NA
Genoa CFC,Stefano Sturaro,ITA,MF,4500000,Juventus FC,16500000
Genoa CFC,Ionut Radu,ROU,GK,6000000,Inter Milan,8000000
Genoa CFC,Andrea Favilli,ITA,FW,3500000,Juventus FC,7000000
Genoa CFC,Lukas Lerager,DNK,MF,3000000,FC Girondins Bordeaux,6000000
Genoa CFC,Pawel Jaroszynski,POL,DF,650000,Chievo Verona,4000000
Genoa CFC,Vittorio Parigini,ITA,FW,700000,Torino FC,NA
Genoa CFC,Cristián Zapata,COL,DF,400000,AC Milan,NA
Genoa CFC,Andrea Masiello,ITA,DF,800000,Atalanta BC,NA
Genoa CFC,Valon Behrami,CHE,MF,400000,Without Club,NA
Genoa CFC,Salvador Ichazo,URY,GK,400000,Without Club,NA
Inter Milan,Romelu Lukaku,BEL,FW,100000000,Manchester United,74000000
Inter Milan,Christian Eriksen,DNK,MF,40000000,Tottenham Hotspur,27000000
Inter Milan,Valentino Lazaro,AUT,DF,10000000,Hertha BSC,22400000
Inter Milan,Matteo Politano,ITA,FW,30000000,US Sassuolo,21100000
Inter Milan,Ashley Young,ENG,DF,1000000,Manchester United,1700000
Inter Milan,Diego Godín,URY,DF,2000000,Atlético de Madrid,NA
Juventus FC,Danilo,BRA,DF,20000000,Manchester City,37000000
Juventus FC,Dejan Kulusevski,SWE,FW,40000000,Atalanta BC,35000000
Juventus FC,Cristian Romero,ARG,DF,35000000,Genoa CFC,26000000
Juventus FC,Luca Pellegrini,ITA,DF,9000000,AS Roma,22000000
Juventus FC,Merih Demiral,TUR,DF,28000000,US Sassuolo,18000000
Juventus FC,Gianluigi Buffon,ITA,GK,1000000,Paris Saint-Germain,NA
Juventus FC,Adrien Rabiot,FRA,MF,30000000,Paris Saint-Germain,NA
Juventus FC,Aaron Ramsey,WAL,MF,14000000,Arsenal FC,NA
SS Lazio,Manuel Lazzari,ITA,DF,21000000,SPAL,13750000
SS Lazio,Jony,ESP,FW,2800000,Málaga CF,1450000
SS Lazio,Sofian Kiyine,MAR,MF,2000000,Chievo Verona,1000000
AC Milan,Rafael Leão,PRT,FW,25000000,LOSC Lille,29500000
AC Milan,Franck Kessié,CIV,MF,55000000,Atalanta BC,24000000
AC Milan,Theo Hernández,FRA,DF,50000000,Real Madrid,21500000
AC Milan,Ismaël Bennacer,DZA,MF,38000000,Empoli FC,16200000
AC Milan,Rade Krunic,BIH,MF,6000000,Empoli FC,8600000
SSC Napoli,Konstantinos Manolas,GRC,DF,23000000,AS Roma,36000000
SSC Napoli,Alex Meret,ITA,GK,20000000,Udinese Calcio,26000000
SSC Napoli,Stanislav Lobotka,SVK,MF,9000000,Celta de Vigo,20900000
SSC Napoli,Andrea Petagna,ITA,FW,15000000,SPAL,16600000
SSC Napoli,Diego Demme,DEU,MF,16000000,RB Leipzig,10250000
SSC Napoli,Giovanni Di Lorenzo,ITA,DF,24000000,Empoli FC,8000000
SSC Napoli,David Ospina,COL,GK,5000000,Arsenal FC,3500000
SSC Napoli,Orestis Karnezis,GRC,GK,500000,Udinese Calcio,1500000
SSC Napoli,Filippo Costa,ITA,DF,350000,SPAL,1450000
SSC Napoli,Fernando Llorente,ESP,FW,1000000,Tottenham Hotspur,NA
Parma Calcio 1913,Mattia Sprocati,ITA,FW,600000,SS Lazio,3000000
Parma Calcio 1913,Matteo Darmian,ITA,DF,7000000,Manchester United,2480000
Parma Calcio 1913,Vincent Laurini,FRA,DF,600000,ACF Fiorentina,440000
AS Roma,Leonardo Spinazzola,ITA,DF,26000000,Juventus FC,29500000
AS Roma,Pau López,ESP,GK,10000000,Real Betis Balompié,23500000
AS Roma,Bryan Cristante,ITA,MF,18000000,Atalanta BC,22000000
AS Roma,Amadou Diawara,GIN,MF,14000000,SSC Napoli,21000000
UC Sampdoria,Emil Audero,ITA,GK,14000000,Juventus FC,20000000
UC Sampdoria,Jakub Jankto,CZE,MF,11000000,Udinese Calcio,14500000
UC Sampdoria,Jeison Murillo,COL,DF,7000000,Valencia CF,13300000
UC Sampdoria,Fabio Depaoli,ITA,DF,3500000,Chievo Verona,4500000
UC Sampdoria,Alex Ferrari,ITA,DF,1800000,Bologna FC 1909,3600000
UC Sampdoria,Mehdi Léris,FRA,MF,1500000,Chievo Verona,2800000
US Sassuolo,Manuel Locatelli,ITA,MF,35000000,AC Milan,14000000
US Sassuolo,Francesco Caputo,ITA,FW,5000000,Empoli FC,7750000
US Sassuolo,Pedro Obiang,GNQ,MF,5000000,West Ham United,7250000
US Sassuolo,Rogério,BRA,DF,6000000,Juventus FC,6950000
SPAL,Andrea Petagna,ITA,FW,15000000,Atalanta BC,12000000
SPAL,Alessandro Murgia,ITA,MF,1500000,SS Lazio,4000000
SPAL,Ervin Zukanovic,BIH,DF,600000,Al-Ahli Jeddah,NA
SPAL,Jacopo Sala,ITA,DF,500000,UC Sampdoria,NA
Torino FC,Simone Zaza,ITA,FW,3000000,Valencia CF,12000000
Torino FC,Ola Aina,NGA,DF,6000000,Chelsea FC,9800000
Torino FC,Koffi Djidji,CIV,DF,1800000,FC Nantes,3000000
Torino FC,Cristian Ansaldi,ARG,DF,2000000,Inter Milan,2500000
Udinese Calcio,Walace,BRA,MF,5000000,Hannover 96,6000000
Udinese Calcio,Marvin Zeegelaar,NLD,DF,1200000,Watford FC,2000000
Udinese Calcio,Sebastien De Maio,FRA,DF,700000,Bologna FC 1909,1500000
Udinese Calcio,Stefano Okaka,ITA,FW,2000000,Watford FC,NA
Udinese Calcio,Sebastian Prödl,AUT,DF,200000,Without Club,NA
Bayern Munich,Lucas Hernández,FRA,DF,45000000,Atlético de Madrid,80000000
Bayern Munich,Benjamin Pavard,FRA,DF,35000000,VfB Stuttgart,35000000
Bayern Munich,Michaël Cuisance,FRA,MF,7000000,Borussia Mönchengladbach,8000000
Borussia Dortmund,Mats Hummels,DEU,DF,12000000,Bayern Munich,30500000
Borussia Dortmund,Nico Schulz,DEU,DF,6000000,TSG 1899 Hoffenheim,25500000
Borussia Dortmund,Thorgan Hazard,BEL,FW,27000000,Borussia Mönchengladbach,25500000
Borussia Dortmund,Julian Brandt,DEU,MF,20000000,Bayer 04 Leverkusen,25000000
Borussia Dortmund,Paco Alcácer,ESP,FW,22000000,FC Barcelona,21000000
RB Leipzig,Ademola Lookman,ENG,FW,11000000,Everton FC,18000000
RB Leipzig,Christopher Nkunku,FRA,MF,43000000,Paris Saint-Germain,13000000
RB Leipzig,Philipp Tschauner,DEU,GK,300000,Hannover 96,350000
Bayer 04 Leverkusen,Kerem Demirbay,DEU,MF,18000000,TSG 1899 Hoffenheim,32000000
Bayer 04 Leverkusen,Moussa Diaby,FRA,FW,38000000,Paris Saint-Germain,15000000
Bayer 04 Leverkusen,Nadiem Amiri,DEU,MF,18000000,TSG 1899 Hoffenheim,9000000
