Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
2361,Konstantinos Stafylidis,GRC,DF,FC Augsburg,Bundesliga,23,1993,0.4,9,5,4,0,0,2,1,0,0,0,0,0,3,2,4,5,0,0,4,0,4,0,0,0,0
2362,Benjamin Stambouli,FRA,DF,FC Schalke 04,Bundesliga,26,1990,24.4,1364,1325,39,36,3,160,25,3,0,0,0,0,889,163,312,268,990,72,3,8,1073,6,11,18,27
2363,Junior Stanislas,ENG,MF,AFC Bournemouth,Premier League,27,1989,14.3,566,510,56,13,3,128,10,29,36,3,1,1,407,68,91,56,483,16,5,3,403,4,10,12,40
2364,Caleb Stanko,USA,DF,SC Freiburg,Bundesliga,24,1993,2.1,118,117,1,1,0,22,2,1,0,0,0,0,88,13,17,37,73,7,0,0,100,0,4,1,3
2365,Niklas Stark,DEU,DF,Hertha BSC,Bundesliga,22,1995,24.6,1033,995,38,38,0,128,25,3,0,0,0,0,700,108,225,75,844,80,0,4,844,4,19,4,12
2366,Tom Starke,DEU,GK,Bayern Munich,Bundesliga,36,1981,2.0,55,45,10,1,0,1,0,0,0,0,0,0,28,6,21,7,35,0,0,9,40,0,2,0,0
2367,Timo Stavitski,FIN,FW,SM Caen,Ligue 1,18,1999,4.5,133,132,1,0,1,35,2,16,0,0,0,0,90,15,28,16,102,12,1,0,86,0,6,3,8
2368,Renato Steffen,CHE,FW,VfL Wolfsburg,Bundesliga,25,1991,7.3,222,210,12,0,0,38,11,11,0,0,0,0,136,50,36,179,18,12,12,1,171,1,5,3,7
2369,Marc Stendera,DEU,MF,Eintracht Frankfurt,Bundesliga,21,1995,4.1,159,145,14,6,0,26,8,1,6,0,2,0,95,24,40,11,134,10,2,0,108,1,5,3,9
2370,Pascal Stenzel,DEU,DF,SC Freiburg,Bundesliga,21,1996,21.6,1082,852,230,26,0,159,58,40,4,4,0,0,530,253,299,67,751,54,200,1,830,5,19,14,33
2371,Dale Stephens,ENG,MF,Brighton & Hove Albion,Premier League,28,1989,36.0,1730,1707,23,3,0,348,89,2,0,0,0,0,1278,162,290,169,1451,92,0,8,1451,5,32,33,19
2372,Jack Stephens,ENG,DF,Southampton FC,Premier League,23,1994,22.0,987,932,55,18,0,115,26,4,0,0,0,0,595,84,308,68,770,103,37,2,730,1,32,9,24
2373,Mariusz Stepinski,POL,FW,FC Nantes,Ligue 1,22,1995,0.0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0
2374,Mariusz Stepinski,POL,FW,Chievo Verona,Serie A,22,1995,7.9,150,144,6,0,0,40,2,4,0,0,0,0,99,33,18,21,110,11,0,6,112,1,7,7,7
