Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
145,Julian Pollersbeck\Julian-Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,22,1994,10,10,900,10.0,15,1.50,47,31,68.1,4,1,5,1,10.0,0,0,0,0,
146,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,25,1992,35,34,3115,34.6,35,1.01,149,117,78.5,13,11,11,11,32.4,5,3,1,1,25.0
147,Andrés Prieto\Andres-Prieto,es ESP,GK,Málaga,es La Liga,23,1993,4,4,360,4.0,10,2.50,18,10,55.6,0,0,4,0,0.0,2,2,0,0,0.0
148,Jérôme Prior\Jerome-Prior,fr FRA,GK,Bordeaux,fr Ligue 1,21,1995,2,2,180,2.0,3,1.50,8,5,62.5,0,0,2,0,0.0,0,0,0,0,
149,Christian Puggioni\Christian-Puggioni,it ITA,GK,Sampdoria,it Serie A,36,1981,9,9,810,9.0,12,1.33,49,40,81.6,5,2,2,5,55.6,3,3,0,0,0.0
150,Christian Puggioni\Christian-Puggioni,it ITA,GK,Benevento,it Serie A,36,1981,14,14,1179,13.1,26,1.98,59,37,64.4,3,1,9,2,14.3,6,5,0,1,0.0
151,Rafael\Rafael,br BRA,GK,Cagliari,it Serie A,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,2,3,1,12.5,1,1,0,0,0.0
152,Toño Ramírez\Tono-Ramirez,es ESP,GK,Real Sociedad,es La Liga,30,1986,4,3,316,3.5,6,1.71,11,5,45.5,1,0,2,1,33.3,0,0,0,0,
153,Pepe Reina\Pepe-Reina,es ESP,GK,Napoli,it Serie A,34,1982,37,37,3330,37.0,29,0.78,98,70,72.4,28,6,3,18,48.6,2,2,0,0,0.0
154,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Dijon,fr Ligue 1,26,1990,38,38,3420,38.0,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4
155,Sergio Rico\Sergio-Rico,es ESP,GK,Sevilla,es La Liga,23,1993,24,23,2157,24.0,39,1.63,90,54,60.0,10,4,10,9,39.1,5,3,1,1,25.0
156,Asier Riesgo\Asier-Riesgo,es ESP,GK,Eibar,es La Liga,33,1983,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
157,Roberto\Roberto,es ESP,GK,Málaga,es La Liga,31,1986,34,34,3060,34.0,51,1.50,144,97,67.4,5,5,24,6,17.6,5,4,1,0,20.0
158,Sergio Romero\Sergio-Romero,ar ARG,GK,Manchester Utd,eng Premier League,30,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
159,Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,it Serie A,26,1991,1,0,8,0.1,1,11.25,2,1,50.0,0,0,0,0,,0,0,0,0,
160,Rubén\Ruben,es ESP,GK,La Coruña,es La Liga,33,1984,28,27,2480,27.6,58,2.10,137,83,59.1,3,10,15,4,14.8,3,2,1,0,33.3
161,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,35,35,3113,34.6,44,1.27,150,112,74.0,14,10,11,12,34.3,6,5,1,0,16.7
162,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Real Sociedad,es La Liga,25,1992,26,26,2340,26.0,45,1.73,100,60,59.0,10,5,11,6,23.1,5,4,1,0,20.0
163,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,25,1992,38,38,3420,38.0,54,1.42,170,120,68.8,9,13,16,10,26.3,3,1,2,0,66.7
164,Mamadou Samassa\Mamadou-Samassa,ml MLI,GK,Troyes,fr Ligue 1,27,1990,21,21,1890,21.0,31,1.48,108,81,73.1,6,3,12,5,23.8,3,2,1,0,33.3
165,Brice Samba\Brice-Samba,cg CGO,GK,Caen,fr Ligue 1,23,1994,4,3,316,3.5,4,1.14,18,15,83.3,1,1,1,2,66.7,1,1,0,0,0.0
166,Antonio Santurro\Antonio-Santurro,it ITA,GK,Bologna,it Serie A,25,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
167,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,30,1986,33,33,2965,32.9,47,1.43,135,90,65.9,11,10,12,8,24.2,3,1,2,0,66.7
168,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,de Bundesliga,25,1992,33,33,2906,32.3,53,1.64,142,97,65.5,7,11,14,9,27.3,5,4,0,1,0.0
169,Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,it Serie A,21,1996,6,6,540,6.0,11,1.83,26,16,57.7,1,0,5,1,16.7,1,0,1,0,100.0
170,Luigi Sepe\Luigi-Sepe,it ITA,GK,Napoli,it Serie A,26,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
171,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,26,1991,2,2,180,2.0,7,3.50,25,18,72.0,0,0,2,0,0.0,0,0,0,0,
172,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,29,1988,5,4,435,4.8,10,2.07,24,14,58.3,1,0,4,1,25.0,0,0,0,0,
173,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,30,1987,37,37,3330,37.0,45,1.22,160,120,75.0,12,15,10,10,27.0,8,5,3,0,37.5
174,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,es La Liga,20,1996,1,1,60,0.7,1,1.50,2,2,50.0,0,0,0,0,0.0,0,0,0,0,
175,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Roma,it Serie A,26,1991,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
176,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,28,1988,30,30,2625,29.2,42,1.44,145,106,73.8,12,8,9,6,20.0,4,4,0,0,0.0
177,David Soria\David-Soria,es ESP,GK,Sevilla,es La Liga,24,1993,15,15,1263,14.0,19,1.35,57,41,70.2,7,3,4,5,33.3,3,2,0,1,0.0
178,Stefano Sorrentino\Stefano-Sorrentino,it ITA,GK,Chievo,it Serie A,38,1979,38,38,3420,38.0,59,1.55,180,126,69.4,10,10,18,7,18.4,8,4,3,1,42.9
179,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,eng Premier League,38,1979,11,11,990,11.0,14,1.27,40,27,67.5,3,5,3,2,18.2,1,1,0,0,0.0
180,Marco Sportiello\Marco-Sportiello,it ITA,GK,Fiorentina,it Serie A,25,1992,37,37,3202,35.6,38,1.07,134,95,73.1,16,9,11,14,37.8,3,2,1,0,33.3
181,Tom Starke\Tom-Starke,de GER,GK,Bayern Munich,de Bundesliga,36,1981,2,2,180,2.0,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,
182,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,22,1995,38,38,3420,38.0,49,1.29,153,112,73.9,21,9,8,11,28.9,11,9,1,1,10.0
183,Danijel Subašić\Danijel-Subasic,hr CRO,GK,Monaco,fr Ligue 1,32,1984,34,34,2939,32.7,41,1.26,130,94,71.5,20,8,5,10,29.4,4,4,0,0,0.0
184,Seydou Sy\Seydou-Sy,sn SEN,GK,Monaco,fr Ligue 1,21,1995,3,2,256,2.8,4,1.41,16,13,81.3,2,0,1,1,50.0,1,1,0,0,0.0
185,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,27,1990,17,17,1530,17.0,9,0.53,34,24,73.5,13,3,1,11,64.7,0,0,0,0,
186,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Nantes,fr Ligue 1,31,1986,37,37,3330,37.0,38,1.03,133,97,72.9,14,10,13,12,32.4,3,2,0,1,0.0
187,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,25,1992,37,37,3330,37.0,28,0.76,129,103,79.8,27,9,1,19,51.4,2,2,0,0,0.0
188,Kevin Trapp\Kevin-Trapp,de GER,GK,Paris S-G,fr Ligue 1,27,1990,4,4,360,4.0,4,1.00,16,14,87.5,3,0,1,1,25.0,2,2,0,0,0.0
189,Philipp Tschauner\Philipp-Tschauner,de GER,GK,Hannover 96,de Bundesliga,31,1985,31,31,2790,31.0,45,1.45,152,107,71.7,9,9,13,5,16.1,3,2,0,1,0.0
190,Przemysław Tytoń\Przemyslaw-Tyton,pl POL,GK,La Coruña,es La Liga,30,1987,2,1,98,1.1,4,3.67,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
191,Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,de Bundesliga,28,1988,29,29,2610,29.0,26,0.90,79,57,68.4,23,3,3,12,41.4,5,1,4,0,80.0
192,Francis Uzoho\Francis-Uzoho,ng NGA,GK,La Coruña,es La Liga,18,1998,2,2,180,2.0,2,1.00,9,8,88.9,0,1,1,1,50.0,1,1,0,0,0.0
193,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,21,1995,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
194,Rémy Vercoutre\Remy-Vercoutre,fr FRA,GK,Caen,fr Ligue 1,37,1980,35,35,3104,34.5,48,1.39,133,93,66.9,9,7,18,11,31.4,4,4,0,0,0.0
195,Emiliano Viviano\Emiliano-Viviano,it ITA,GK,Sampdoria,it Serie A,31,1985,27,27,2430,27.0,43,1.59,129,89,68.2,11,4,12,6,22.2,6,2,4,0,66.7
196,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,eng Premier League,33,1983,1,1,90,1.0,1,1.00,4,4,75.0,0,1,0,0,0.0,0,0,0,0,
197,Roman Weidenfeller\Roman-Weidenfeller,de GER,GK,Dortmund,de Bundesliga,36,1980,2,1,91,1.0,4,3.96,7,2,42.9,0,1,0,0,0.0,0,0,0,0,
198,Axel Werner\Axel-Werner,ar ARG,GK,Atlético Madrid,es La Liga,21,1996,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
199,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,28,1988,1,1,90,1.0,1,1.00,5,5,80.0,1,0,0,0,0.0,0,0,0,0,
200,Erwin Zelazny\Erwin-Zelazny,fr FRA,GK,Troyes,fr Ligue 1,25,1991,17,17,1530,17.0,28,1.65,94,68,72.3,3,3,11,3,17.6,2,2,0,0,0.0
201,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,22,1994,15,15,1350,15.0,27,1.80,66,44,65.2,3,5,7,2,13.3,4,4,0,0,0.0
202,Luca Zidane\Luca-Zidane,fr FRA,GK,Real Madrid,es La Liga,19,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
203,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Stuttgart,de Bundesliga,28,1989,34,34,3060,34.0,36,1.06,146,113,78.1,15,6,13,12,35.3,6,4,2,0,33.3
