Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
109,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,59,2.30,49,4,0,2,1,3,6,0.23,4,1,0,0,0,1
110,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,52,2.32,38,2,5,5,2,0,7,0.31,6,0,0,0,1,0
111,Sergio Araujo\Sergio-Araujo,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,2,4.86,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0
112,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,32,1.19,24,3,1,2,0,2,5,0.19,4,0,0,1,0,0
113,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
114,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,eng Premier League,28,1988,14.8,19,1.28,12,0,2,2,3,0,3,0.20,1,0,1,0,1,0
115,Samuel Armenteros\Samuel-Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
116,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,1,0.66,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
117,José Arnaiz\Jose-Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
118,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,63,2.45,42,2,9,5,5,0,12,0.47,7,0,2,3,0,0
119,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,72,2.64,46,19,1,1,4,1,3,0.11,2,1,0,0,0,0
120,Jann-Fiete Arp\Jann-Fiete-Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,13,1.38,5,0,4,1,1,2,1,0.11,0,0,1,0,0,0
121,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
122,Sergio Arribas\Sergio-Arribas,es ESP,FW,Leganés,es La Liga,22,1995,0.3,,,,,,,,,,,,,,,,
