Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,CrdY,CrdR,2CrdY,FlsCom,FlsRec,Off,Crs,Int,TklW,PKRec,PKCom,OG,Recov,AWon,ALost,AWon%
1471,Dimitrios Limnios,GRC,MF,1. FC Köln,Bundesliga,22,1998,4.2,0,0,0,5,12,1,9,1,5,0,0,0,28,3,6,33.3
1472,Victor Lindelöf,SWE,DF,Manchester United,Premier League,26,1994,28.7,0,0,0,24,8,1,1,32,16,0,1,0,265,69,36,65.7
1473,Karol Linetty,POL,MF,Torino FC,Serie A,25,1995,20.4,5,0,0,31,30,1,7,16,30,0,0,0,166,8,15,34.8
1474,Jesse Lingard,ENG,MF,West Ham United,Premier League,27,1992,15.8,3,0,0,22,24,6,23,7,10,2,0,0,88,0,6,0.0
1475,Pol Lirola,ESP,DF,ACF Fiorentina,Serie A,22,1997,5.5,3,0,0,4,3,1,20,5,5,0,0,0,39,4,5,44.4
1476,Pol Lirola,ESP,DF,Olympique Marseille,Ligue 1,22,1997,17.3,3,0,0,14,16,0,57,31,15,0,0,0,138,18,11,62.1
1477,Jake Livermore,ENG,MF,West Bromwich Albion,Premier League,30,1989,13.8,2,1,0,30,6,0,4,19,19,0,0,1,143,18,19,48.6
1478,Diego Llorente,ESP,DF,Leeds United,Premier League,26,1993,13.4,1,0,0,15,9,0,2,41,27,0,0,0,117,40,26,60.6
1479,Diego Llorente,ESP,DF,Real Sociedad,La Liga,26,1993,1.0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,1,66.7
1480,Fernando Llorente,ESP,FW,Udinese Calcio,Serie A,35,1985,7.9,2,0,0,21,11,3,1,4,2,0,0,0,37,47,33,58.8
1481,Fernando Llorente,ESP,FW,SSC Napoli,Serie A,35,1985,0.6,0,0,0,3,1,0,1,0,0,0,0,0,3,3,3,50.0
1482,Marcos Llorente,ESP,MF,Atlético de Madrid,La Liga,25,1995,32.8,6,0,0,59,39,6,72,31,44,0,1,0,237,25,38,39.7
1483,Hugo Lloris,FRA,GK,Tottenham Hotspur,Premier League,33,1986,38.0,0,0,0,0,3,0,0,0,0,0,0,0,152,0,0,
1484,Giovani Lo Celso,ARG,MF,Tottenham Hotspur,Premier League,24,1996,10.5,5,0,0,19,20,0,3,8,23,0,0,0,105,11,18,37.9
1485,Stanislav Lobotka,SVK,MF,SSC Napoli,Serie A,25,1994,1.7,2,0,0,5,2,0,0,1,1,0,0,0,15,2,2,50.0
1486,Manuel Locatelli,ITA,MF,US Sassuolo,Serie A,22,1998,32.0,9,0,0,53,48,1,34,43,52,1,1,0,326,53,44,54.6
1487,Renan Lodi,BRA,DF,Atlético de Madrid,La Liga,22,1998,12.5,3,0,0,19,27,2,49,23,16,0,0,0,105,10,12,45.5
1488,Ruben Loftus-Cheek,ENG,FW,Chelsea FC,Premier League,24,1996,0.7,0,0,0,1,2,0,0,1,0,0,0,0,5,1,3,25.0
1489,Ruben Loftus-Cheek,ENG,MF,Fulham FC,Premier League,24,1996,21.2,3,0,0,29,51,3,13,23,22,1,0,0,134,43,81,34.7
1490,Niklas Lomb,DEU,GK,Bayer 04 Leverkusen,Bundesliga,27,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
1491,Kevin Long,IRL,DF,Burnley FC,Premier League,29,1990,7.1,2,0,0,8,4,0,1,4,8,0,0,0,88,22,21,51.2
1492,Shane Long,IRL,FW,Southampton FC,Premier League,33,1987,2.3,0,0,0,7,6,3,0,2,0,0,0,0,18,15,14,51.7
1493,Matthew Longstaff,ENG,MF,Newcastle United,Premier League,20,2000,4.2,0,0,0,3,5,0,3,6,3,0,0,0,44,6,5,54.5
1494,Sean Longstaff,ENG,MF,Newcastle United,Premier League,22,1997,15.7,2,0,0,23,21,0,7,19,21,0,0,0,118,12,15,44.4
1495,Ademola Lookman,ENG,FW,Fulham FC,Premier League,22,1997,30.5,5,0,0,46,59,12,64,25,29,0,0,0,200,7,36,16.3
1496,Anthony Lopes,PRT,GK,Olympique Lyon,Ligue 1,29,1990,38.0,2,0,0,2,7,0,0,0,0,0,2,2,192,0,0,
1497,Rony Lopes,PRT,FW,OGC Nice,Ligue 1,24,1995,19.8,1,0,0,15,24,1,37,15,18,0,0,0,110,8,19,29.6
1498,Pedro López,ESP,DF,SD Huesca,La Liga,36,1983,11.9,2,0,0,14,15,3,38,10,22,0,0,0,98,17,12,58.6
1499,Adrián López,ESP,FW,CA Osasuna,La Liga,32,1988,5.3,0,0,0,4,4,4,7,1,4,0,0,0,34,16,30,34.8
1500,Javi López,ESP,DF,Deportivo Alavés,La Liga,18,2002,2.8,1,1,0,3,3,0,11,6,5,0,0,0,31,3,3,50.0
1501,Maxime López,FRA,MF,US Sassuolo,Serie A,22,1997,20.7,7,0,0,24,22,0,12,23,19,0,0,0,133,4,10,28.6
1502,Maxime López,FRA,FW,Olympique Marseille,Ligue 1,22,1997,1.5,1,0,0,4,1,0,1,1,0,0,0,0,6,1,3,25.0
1503,Pau López,ESP,GK,AS Roma,Serie A,25,1994,20.2,0,0,0,0,1,0,0,0,0,0,0,0,97,0,0,
1504,Roberto López,ESP,MF,Real Sociedad,La Liga,20,2000,5.6,0,0,0,2,5,1,14,3,2,0,0,0,47,7,11,38.9
1505,Unai López,ESP,MF,Athletic Bilbao,La Liga,24,1995,15.8,7,0,0,21,21,1,16,11,22,0,0,1,161,8,21,27.6
1506,Dion Lopy,SEN,MF,Stade Reims,Ligue 1,18,2002,2.8,0,0,0,0,2,0,1,4,1,0,0,0,15,2,1,66.7
1507,Jordan Lotomba,CHE,DF,OGC Nice,Ligue 1,21,1998,23.6,7,1,1,28,34,2,43,18,19,1,0,0,187,23,23,50.0
1508,Adrien Louveau,FRA,DF,RC Lens,Ligue 1,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0
1509,Imrân Louza,FRA,MF,FC Nantes,Ligue 1,21,1999,26.4,4,1,0,36,45,3,30,46,34,0,0,0,273,24,36,40.0
1510,Matteo Lovato,ITA,DF,Hellas Verona,Serie A,20,2000,15.4,5,0,0,26,9,0,3,19,18,0,1,0,187,56,33,62.9
1511,Max Lowe,ENG,DF,Sheffield United,Premier League,23,1997,6.1,1,0,0,10,3,0,17,3,14,0,0,0,43,5,19,20.8
1512,Eduard Löwen,DEU,MF,Hertha BSC,Bundesliga,23,1997,0.9,0,0,0,1,0,0,3,1,4,0,0,0,16,0,1,0.0
1513,Matthew Lowton,ENG,DF,Burnley FC,Premier League,31,1989,34.0,5,0,0,19,13,0,57,55,36,0,0,0,315,38,24,61.3
1514,Choco Lozano,HND,FW,Cádiz CF,La Liga,27,1993,16.9,5,0,0,49,32,11,18,3,10,0,0,0,65,57,83,40.7
1515,Hirving Lozano,MEX,FW,SSC Napoli,Serie A,25,1995,21.8,6,0,0,34,69,11,70,18,20,1,0,0,114,15,22,40.5
1516,Luca Schuler,DEU,FW,FC Schalke 04,Bundesliga,21,1999,0.4,0,0,0,1,0,0,0,0,1,0,0,0,2,4,8,33.3
1517,Jean Lucas,BRA,MF,Olympique Lyon,Ligue 1,22,1998,1.9,1,0,0,3,2,0,7,3,4,0,1,0,18,1,2,33.3
1518,Jean Lucas,BRA,MF,Stade Brest 29,Ligue 1,22,1998,11.2,4,1,1,13,22,0,8,17,14,0,0,0,97,10,15,40.0
1519,Anderson Lucoqui,AGO,DF,Arminia Bielefeld,Bundesliga,23,1997,17.8,5,0,0,26,39,0,10,16,24,0,0,0,195,31,25,55.4
1520,Jeison Lucumí,COL,FW,Elche CF,La Liga,25,1995,0.5,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,50.0
1521,Kilian Ludewig,DEU,DF,FC Schalke 04,Bundesliga,20,2000,5.8,1,0,0,7,3,2,7,4,5,0,0,0,48,5,7,41.7
1522,José Gayà,ESP,DF,Valencia CF,La Liga,25,1995,31.6,6,0,0,31,30,12,96,35,35,0,2,0,259,28,41,40.6
1523,José Luis Morales,ESP,FW,Levante UD,La Liga,33,1987,27.1,3,0,0,17,18,18,75,11,13,0,0,0,125,12,22,35.3
1524,José Luis Palomino,ARG,DF,Atalanta BC,Serie A,30,1990,27.0,3,0,0,49,16,2,12,73,43,0,1,0,340,87,42,67.4
1525,Florentino,PRT,MF,AS Monaco,Ligue 1,20,1999,2.7,1,0,0,4,4,0,1,3,8,0,0,0,22,2,1,66.7
1526,Luisinho,PRT,DF,SD Huesca,La Liga,35,1985,2.0,1,0,0,0,4,0,1,1,0,0,0,0,16,2,1,66.7
1527,Luismi,ESP,MF,Elche CF,La Liga,28,1992,1.9,0,0,0,6,1,0,1,3,4,0,1,0,17,1,0,100.0
1528,David Luiz,BRA,DF,Arsenal FC,Premier League,33,1987,15.5,1,1,0,15,6,1,7,12,9,0,0,0,115,30,12,71.4
1529,Douglas Luiz,BRA,MF,Aston Villa,Premier League,22,1998,30.9,10,1,1,59,49,0,13,33,43,0,2,0,375,40,43,48.2
