Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,TklPl,TklW,TkDef3rd,TkMid3rd,TkAtt3rd,TklDr,TklDrAtt,TklDr%,DrPast,PressAtt,PressSucc,Press%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlocksSh,BlocksSoT,BlocksPass,Int,Tkl+Int,Clr,ErrSh
1271,Arnaud Kalimuendo,FRA,FW,RC Lens,Ligue 1,18,2002,13.5,7,5,4,1,2,2,12,16.7,10,211,56,26.5,21,91,99,8,0,0,8,1,8,2,0
1272,Nikola Kalinic,HRV,FW,Hellas Verona,Serie A,32,1988,11.8,2,1,1,1,0,0,3,0.0,3,133,38,28.6,7,34,92,4,0,0,4,1,3,6,0
1273,Yayah Kallon,SLE,MF,Genoa CFC,Serie A,19,2001,0.5,0,0,0,0,0,0,0,,0,6,0,0.0,1,3,2,0,0,0,0,0,0,0,0
1274,Samuel Kalu,NGA,FW,FC Girondins Bordeaux,Ligue 1,22,1997,10.7,26,18,11,10,5,6,15,40.0,9,160,58,36.3,36,64,60,18,0,0,18,9,35,3,0
1275,Pierre Kalulu,FRA,DF,AC Milan,Serie A,20,2000,8.1,21,13,11,7,3,5,9,55.6,4,127,39,30.7,61,50,16,14,4,0,10,15,36,25,0
1276,Daichi Kamada,JPN,MF,Eintracht Frankfurt,Bundesliga,23,1996,26.2,52,29,24,17,11,20,63,31.7,43,523,157,30.0,89,259,175,31,2,0,29,26,78,23,0
1277,Aboubakar Kamara,MRT,FW,Fulham FC,Premier League,25,1995,3.5,2,2,2,0,0,1,5,20.0,4,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0
1278,Aboubakar Kamara,MRT,FW,Dijon FCO,Ligue 1,25,1995,6.2,3,3,1,1,1,0,6,0.0,6,113,21,18.6,10,58,45,1,0,0,1,1,4,3,0
1279,Bingourou Kamara,SEN,GK,RC Strasbourg Alsace,Ligue 1,23,1996,8.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0
1280,Boubacar Kamara,FRA,MF,Olympique Marseille,Ligue 1,20,1999,32.2,98,69,38,50,10,35,84,41.7,49,533,186,34.9,163,314,56,57,14,0,43,34,132,71,0
1281,Hassane Kamara,CIV,DF,OGC Nice,Ligue 1,25,1994,32.9,67,27,37,22,8,26,58,44.8,32,368,95,25.8,149,133,86,62,9,0,53,43,110,75,1
1282,Marcin Kaminski,POL,DF,VfB Stuttgart,Bundesliga,28,1992,2.4,1,1,0,0,1,0,0,,0,9,3,33.3,5,4,0,4,1,0,3,1,2,14,0
1283,Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,29,1990,21.5,50,42,17,27,6,12,32,37.5,20,391,153,39.1,105,226,60,30,3,0,27,30,80,22,0
1284,Harry Kane,ENG,FW,Tottenham Hotspur,Premier League,27,1993,34.2,18,12,3,12,3,5,20,25.0,15,391,99,25.3,21,190,180,30,13,1,17,15,33,41,0
1285,Wilfried Kanga,FRA,FW,SCO Angers,Ligue 1,22,1998,1.5,0,0,0,0,0,0,2,0.0,2,27,4,14.8,2,10,15,1,0,0,1,0,0,2,0
1286,Kang-in Lee,KOR,FW,Valencia CF,La Liga,19,2001,14.0,18,13,9,5,4,5,32,15.6,27,321,73,22.7,59,171,91,10,0,0,10,2,20,1,0
1287,N'Golo Kanté,FRA,MF,Chelsea FC,Premier League,29,1991,23.8,87,57,42,40,5,29,60,48.3,31,478,164,34.3,201,213,64,62,5,0,57,62,149,32,0
1288,Jimmy Kaparos,DEU,MF,FC Schalke 04,Bundesliga,18,2001,0.2,0,0,0,0,0,0,1,0.0,1,4,0,0.0,3,1,0,0,0,0,0,0,0,0,0
1289,Yann Karamoh,FRA,FW,Parma Calcio 1913,Serie A,22,1998,14.4,26,20,9,12,5,10,24,41.7,14,239,62,25.9,48,108,83,11,1,0,10,7,33,7,0
1290,Isaac Karamoko,FRA,DF,US Sassuolo,Serie A,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1291,Atakan Karazor,DEU,DF,VfB Stuttgart,Bundesliga,23,1996,11.5,23,14,14,9,0,10,19,52.6,9,176,67,38.1,90,68,18,22,6,0,16,18,41,62,1
1292,Augustus Kargbo,SLE,FW,FC Crotone,Serie A,20,1999,0.4,1,1,0,0,1,0,1,0.0,1,20,6,30.0,1,5,14,0,0,0,0,0,1,0,0
1293,Loris Karius,DEU,GK,1.FC Union Berlin,Bundesliga,27,1993,3.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1294,Rick Karsdorp,NLD,DF,AS Roma,Serie A,25,1995,28.3,46,29,22,20,4,13,46,28.3,33,328,99,30.2,125,126,77,28,1,0,27,33,79,33,0
1295,Noah Katterbach,DEU,DF,1. FC Köln,Bundesliga,19,2001,12.3,22,15,14,6,2,5,22,22.7,17,144,46,31.9,73,57,14,15,2,1,13,11,33,29,0
1296,Eiji Kawashima,JPN,GK,RC Strasbourg Alsace,Ligue 1,37,1983,24.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,1
1297,Moise Kean,ITA,FW,Everton FC,Premier League,20,2000,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
1298,Moise Kean,ITA,FW,Paris Saint-Germain,Ligue 1,20,2000,18.9,10,9,1,7,2,3,14,21.4,11,177,51,28.8,22,64,91,10,2,0,8,7,17,7,0
1299,Michael Keane,ENG,DF,Everton FC,Premier League,27,1993,33.2,31,15,23,6,2,12,34,35.3,22,204,70,34.3,131,64,9,74,38,0,36,43,74,198,2
1300,Neeskens Kebano,COD,FW,Fulham FC,Premier League,28,1992,1.3,1,1,1,0,0,1,3,33.3,2,30,9,30.0,4,13,13,5,0,0,5,0,1,1,0
1301,Thilo Kehrer,DEU,DF,Paris Saint-Germain,Ligue 1,23,1996,18.0,28,16,17,9,2,8,22,36.4,14,202,74,36.6,85,92,25,25,4,0,21,17,45,47,2
1302,Habib Keïta,MLI,MF,Olympique Lyon,Ligue 1,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,2,2,0,0
1303,Naby Keïta,GIN,MF,Liverpool FC,Premier League,25,1995,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0
1304,Yannik Keitel,DEU,MF,SC Freiburg,Bundesliga,20,2000,5.5,13,8,6,6,1,4,7,57.1,3,89,30,33.7,35,40,14,9,2,0,7,10,23,11,0
1305,Caoimhin Kelleher,IRL,GK,Liverpool FC,Premier League,21,1998,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1306,Stephane Paul Keller,CMR,DF,Deportivo Alavés,La Liga,18,2001,0.2,1,1,0,1,0,0,0,,0,2,1,50.0,1,1,0,1,0,0,1,0,1,0,0
1307,Martin Kelly,ENG,DF,Crystal Palace,Premier League,30,1990,0.0,1,0,1,0,0,1,1,100.0,0,3,2,66.7,2,1,0,0,0,0,0,0,1,1,0
1308,Marc Oliver Kempf,DEU,DF,VfB Stuttgart,Bundesliga,25,1995,30.3,63,42,46,13,4,25,51,49.0,26,286,102,35.7,165,105,16,65,31,0,34,52,115,132,1
1309,Kenedy,BRA,FW,Granada CF,La Liga,24,1996,16.3,28,18,15,8,5,4,25,16.0,21,258,64,24.8,80,96,82,32,4,0,28,21,49,16,1
1310,Jonjoe Kenny,ENG,DF,Everton FC,Premier League,23,1997,0.9,1,0,1,0,0,0,1,0.0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0
1311,Franck Kessié,CIV,MF,AC Milan,Serie A,23,1996,35.8,72,44,45,19,8,26,42,61.9,16,535,160,29.9,171,278,86,75,18,0,57,43,115,59,0
1312,Reda Khadra,DEU,FW,Brighton & Hove Albion,Premier League,19,2001,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
1313,Omar Khailoti,ITA,DF,Bologna FC 1909,Serie A,18,2001,0.3,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,2,0,0,2,0,0,0,0
1314,Saîf-Eddine Khaoui,TUN,FW,Olympique Marseille,Ligue 1,25,1995,6.7,16,10,8,3,5,6,15,40.0,9,131,36,27.5,43,58,30,13,0,0,13,18,34,7,0
1315,Wahbi Khazri,TUN,FW,AS Saint-Étienne,Ligue 1,29,1991,13.1,23,11,11,7,5,9,24,37.5,15,236,79,33.5,29,101,106,11,1,0,10,6,29,9,0
1316,Rani Khedira,DEU,MF,FC Augsburg,Bundesliga,26,1994,20.2,36,20,16,18,2,9,24,37.5,15,336,98,29.2,106,184,46,26,6,0,20,23,59,57,0
1317,Sami Khedira,DEU,MF,Hertha BSC,Bundesliga,33,1987,4.4,10,8,3,5,2,5,11,45.5,6,66,22,33.3,22,30,14,5,1,0,4,10,20,9,1
1318,Kike García,ESP,FW,SD Eibar,La Liga,30,1989,34.3,26,22,7,11,8,3,25,12.0,22,556,178,32.0,32,209,315,35,4,0,31,8,34,26,0
1319,Luca Kilian,DEU,DF,1.FSV Mainz 05,Bundesliga,20,1999,4.2,14,4,10,3,1,2,10,20.0,8,38,17,44.7,22,15,1,6,2,0,4,1,15,15,1
1320,Max Kilman,ENG,DF,Wolverhampton Wanderers,Premier League,23,1997,14.6,27,20,21,3,3,10,20,50.0,10,148,44,29.7,105,36,7,20,9,0,11,18,45,58,0
1321,Joshua Kimmich,DEU,MF,Bayern Munich,Bundesliga,25,1995,24.4,45,34,16,23,6,16,62,25.8,46,429,137,31.9,126,223,80,34,5,0,29,41,86,26,0
1322,Presnel Kimpembe,FRA,DF,Paris Saint-Germain,Ligue 1,24,1995,25.6,53,33,25,26,2,12,20,60.0,8,218,72,33.0,108,90,20,34,14,0,20,34,87,94,2
1323,Joshua King,NOR,MF,Everton FC,Premier League,28,1992,1.6,4,1,2,0,2,1,1,100.0,0,44,11,25.0,14,17,13,3,0,0,3,1,5,1,0
1324,Georgios Kyriakopoulos,GRC,DF,US Sassuolo,Serie A,24,1996,16.2,46,26,27,12,7,15,32,46.9,17,206,62,30.1,94,74,38,30,6,0,24,14,60,44,1
1325,Simon Kjaer,DNK,DF,AC Milan,Serie A,31,1989,26.6,51,21,31,18,2,21,40,52.5,19,307,91,29.6,153,144,10,56,29,1,27,38,89,145,2
1326,Davy Klaassen,NLD,MF,SV Werder Bremen,Bundesliga,27,1993,2.5,3,2,1,1,1,0,2,0.0,2,59,20,33.9,9,35,15,9,1,0,8,2,5,0,0
1327,Felix Klaus,DEU,DF,VfL Wolfsburg,Bundesliga,27,1992,1.5,9,8,3,5,1,3,5,60.0,2,35,16,45.7,12,14,9,5,0,0,5,0,9,6,0
1328,João Klauss,BRA,FW,TSG 1899 Hoffenheim,Bundesliga,23,1997,0.6,0,0,0,0,0,0,1,0.0,1,11,4,36.4,0,3,8,0,0,0,0,0,0,0,0
1329,Ragnar Klavan,EST,DF,Cagliari Calcio,Serie A,34,1985,8.6,16,5,8,7,1,6,9,66.7,3,105,29,27.6,62,39,4,13,5,0,8,7,23,41,0
1330,Philipp Klement,DEU,MF,VfB Stuttgart,Bundesliga,27,1992,4.7,9,5,6,1,2,3,12,25.0,9,106,27,25.5,44,38,24,8,2,0,6,5,14,11,0
1331,Mateusz Klich,POL,MF,Leeds United,Premier League,30,1990,26.6,52,43,19,25,8,10,59,16.9,49,570,165,28.9,129,319,122,21,4,0,17,17,69,23,0
1332,Mateo Klimowicz,DEU,FW,VfB Stuttgart,Bundesliga,20,2000,13.3,24,14,6,11,7,4,18,22.2,14,232,69,29.7,39,85,108,11,1,0,10,3,27,4,0
1333,Fabian Klos,DEU,FW,Arminia Bielefeld,Bundesliga,32,1987,30.1,26,14,9,11,6,7,34,20.6,27,508,141,27.8,54,259,195,20,6,1,14,10,36,28,0
1334,Lukas Klostermann,DEU,DF,RB Leipzig,Bundesliga,24,1996,16.1,26,13,14,9,3,8,19,42.1,11,178,73,41.0,76,76,26,33,8,0,25,19,45,53,0
1335,Justin Kluivert,NLD,FW,AS Roma,Serie A,21,1999,0.2,0,0,0,0,0,0,0,,0,8,1,12.5,2,3,3,0,0,0,0,0,0,0,0
1336,Justin Kluivert,NLD,FW,RB Leipzig,Bundesliga,21,1999,9.0,5,3,1,3,1,1,6,16.7,5,126,35,27.8,21,54,51,11,0,0,11,3,8,5,0
1337,Lukas Klünter,DEU,DF,Hertha BSC,Bundesliga,24,1996,11.0,12,7,8,4,0,4,8,50.0,4,107,36,33.6,58,40,9,13,1,0,12,13,25,47,0
1338,Ansgar Knauff,DEU,FW,Borussia Dortmund,Bundesliga,18,2002,0.8,1,0,0,1,0,0,1,0.0,1,21,3,14.3,6,13,2,2,1,0,1,1,2,2,0
1339,Robin Knoche,DEU,DF,1.FC Union Berlin,Bundesliga,28,1992,33.8,50,34,33,16,1,18,40,45.0,22,346,133,38.4,216,112,18,59,29,1,30,43,93,192,2
1340,Gregor Kobel,CHE,GK,VfB Stuttgart,Bundesliga,22,1997,33.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,1
1341,Robin Koch,DEU,DF,Leeds United,Premier League,24,1996,12.6,29,18,16,13,0,12,24,50.0,12,183,48,26.2,91,80,12,31,14,0,17,13,42,40,2
1342,Giorgi Kochorashvili,GEO,MF,Levante UD,La Liga,21,1999,0.3,0,0,0,0,0,0,0,,0,6,3,50.0,1,4,1,0,0,0,0,0,0,0,0
1343,Kenan Kodro,BIH,FW,Real Valladolid CF,La Liga,26,1993,5.1,0,0,0,0,0,0,2,0.0,2,59,11,18.6,6,19,34,1,0,0,1,4,4,5,0
1344,Kenan Kodro,BIH,FW,Athletic Bilbao,La Liga,26,1993,0.5,0,0,0,0,0,0,1,0.0,1,9,1,11.1,1,4,4,0,0,0,0,0,0,0,0
1345,Dominik Kohr,DEU,MF,1.FSV Mainz 05,Bundesliga,26,1994,14.1,48,29,18,22,8,11,36,30.6,25,299,100,33.4,84,161,54,24,5,0,19,29,77,39,0
1346,Dominik Kohr,DEU,MF,Eintracht Frankfurt,Bundesliga,26,1994,2.9,17,11,2,10,5,3,6,50.0,3,74,28,37.8,15,44,15,7,1,0,6,5,22,9,0
1347,Koba Koindredi,FRA,MF,Valencia CF,La Liga,18,2001,0.2,2,2,1,1,0,0,1,0.0,1,4,3,75.0,1,3,0,0,0,0,0,0,2,1,0
1348,Koke,ESP,MF,Atlético de Madrid,La Liga,28,1992,33.6,78,53,27,38,13,30,107,28.0,77,616,177,28.7,202,316,98,46,6,0,40,38,116,44,0
1349,Aleksandr Kokorin,RUS,FW,ACF Fiorentina,Serie A,29,1991,1.0,0,0,0,0,0,0,1,0.0,1,7,0,0.0,5,1,1,0,0,0,0,1,1,0,0
1350,Aleksandar Kolarov,SRB,DF,Inter Milan,Serie A,34,1985,4.3,7,5,2,4,1,1,2,50.0,1,37,14,37.8,10,23,4,3,0,0,3,2,9,9,0
1351,Sead Kolasinac,BIH,DF,Arsenal FC,Premier League,27,1993,1.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0
1352,Sead Kolasinac,BIH,DF,FC Schalke 04,Bundesliga,27,1993,15.8,24,14,12,10,2,13,26,50.0,13,184,52,28.3,76,81,27,19,4,0,15,36,60,21,0
1353,Randal Kolo Muani,FRA,FW,FC Nantes,Ligue 1,21,1998,33.7,30,20,2,19,9,4,20,20.0,16,521,158,30.3,41,253,227,19,3,0,16,19,49,28,1
1354,Timothée Kolodziejczak,FRA,DF,AS Saint-Étienne,Ligue 1,28,1991,22.6,34,21,24,10,0,14,28,50.0,14,206,74,35.9,123,75,8,35,16,1,19,38,72,105,2
1355,Ghislain Konan,CIV,DF,Stade Reims,Ligue 1,24,1995,29.0,69,40,36,24,9,25,47,53.2,22,266,85,32.0,128,101,37,51,10,0,41,32,101,81,0
1356,Ibrahima Konaté,FRA,DF,RB Leipzig,Bundesliga,21,1999,7.7,10,5,6,4,0,2,7,28.6,5,56,15,26.8,25,29,2,10,4,0,6,10,20,41,0
1357,Moussa Konaté,SEN,FW,Dijon FCO,Ligue 1,27,1993,13.3,6,2,1,5,0,3,18,16.7,15,153,40,26.1,8,97,48,12,1,0,11,6,12,7,0
1358,Geoffrey Kondogbia,CAF,MF,Atlético de Madrid,La Liga,27,1993,6.8,29,20,8,20,1,9,18,50.0,9,170,57,33.5,56,98,16,13,5,0,8,9,38,12,0
1359,Geoffrey Kondogbia,CAF,MF,Valencia CF,La Liga,27,1993,4.9,15,10,7,7,1,5,15,33.3,10,118,37,31.4,49,64,5,4,1,0,3,4,19,13,0
1360,Lamine Koné,CIV,DF,RC Strasbourg Alsace,Ligue 1,31,1989,11.6,12,7,8,4,0,6,8,75.0,2,81,23,28.4,55,25,1,15,5,0,10,7,19,52,0
1361,Moussa Koné,SEN,FW,Nîmes Olympique,Ligue 1,23,1996,19.5,16,10,2,9,5,4,18,22.2,14,292,77,26.4,20,148,124,15,3,0,12,8,24,7,0
1362,Youssouf Koné,MLI,DF,Elche CF,La Liga,25,1995,0.8,2,0,1,0,1,0,1,0.0,1,9,2,22.2,8,0,1,0,0,0,0,1,3,0,0
1363,Terence Kongolo,NLD,DF,Fulham FC,Premier League,26,1994,1.0,4,4,1,3,0,0,0,,0,14,8,57.1,6,7,1,2,0,0,2,0,4,6,0
1364,Ezri Konsa,ENG,DF,Aston Villa,Premier League,22,1997,35.5,34,22,23,10,1,11,19,57.9,8,225,71,31.6,129,83,13,65,45,0,20,27,61,193,0
1365,Laurent Koscielny,FRA,DF,FC Girondins Bordeaux,Ligue 1,34,1985,24.6,27,18,19,7,1,11,20,55.0,9,172,80,46.5,110,57,5,53,35,0,18,40,67,139,1
1366,Filip Kostic,SRB,DF,Eintracht Frankfurt,Bundesliga,27,1992,28.2,60,34,30,19,11,23,59,39.0,36,434,140,32.3,143,170,121,67,6,0,61,31,91,33,1
1367,Márk Kosznovszky,HUN,MF,Parma Calcio 1913,Serie A,18,2002,1.0,2,0,1,1,0,1,3,33.3,2,16,1,6.3,2,6,8,3,0,0,3,3,5,0,0
1368,Christian Kouamé,CIV,FW,ACF Fiorentina,Serie A,22,1997,11.1,16,11,3,4,9,5,13,38.5,8,179,46,25.7,25,65,89,5,0,0,5,4,20,4,0
1369,Tanguy Nianzou,FRA,DF,Bayern Munich,Bundesliga,18,2002,1.3,2,1,2,0,0,1,1,100.0,0,9,3,33.3,5,4,0,0,0,0,0,1,3,8,0
1370,Kalidou Koulibaly,SEN,DF,SSC Napoli,Serie A,29,1991,24.5,45,29,27,16,2,17,36,47.2,19,249,101,40.6,144,89,16,54,28,1,26,30,75,98,2
1371,Jules Koundé,FRA,DF,Sevilla FC,La Liga,21,1998,33.1,31,23,16,14,1,10,23,43.5,13,242,110,45.5,124,93,25,42,19,1,23,42,73,140,1
1372,Kiki Kouyaté,MLI,DF,FC Metz,Ligue 1,23,1997,21.8,68,36,51,17,0,29,64,45.3,35,283,103,36.4,180,99,4,49,28,3,21,50,118,216,3
1373,Cheikhou Kouyaté,SEN,DF,Crystal Palace,Premier League,30,1989,34.7,70,36,53,14,3,26,45,57.8,19,350,109,31.1,230,102,18,62,28,0,34,38,108,162,2
1374,Mateo Kovacic,HRV,MF,Chelsea FC,Premier League,26,1994,20.2,55,36,24,26,5,10,33,30.3,23,334,116,34.7,99,168,67,15,1,0,14,22,77,13,1
1375,Viktor Kovalenko,UKR,FW,Atalanta BC,Serie A,24,1996,0.0,0,0,0,0,0,0,0,,0,3,2,66.7,1,1,1,1,0,0,1,0,0,1,0
1376,Emil Krafth,SWE,DF,Newcastle United,Premier League,25,1994,14.3,23,16,14,8,1,10,25,40.0,15,169,52,30.8,91,58,20,33,10,0,23,21,44,56,1
1377,Andrej Kramaric,HRV,FW,TSG 1899 Hoffenheim,Bundesliga,29,1991,26.4,8,5,4,2,2,4,11,36.4,7,190,70,36.8,25,69,96,17,3,0,14,12,20,7,1
1378,Christoph Kramer,DEU,MF,Borussia Mönchengladbach,Bundesliga,29,1991,22.6,61,39,26,28,7,20,62,32.3,42,385,132,34.3,133,210,42,43,10,0,33,36,97,55,0
1379,Jean-Philippe Krasso,FRA,FW,AS Saint-Étienne,Ligue 1,23,1997,2.5,5,3,1,3,1,1,1,100.0,0,50,17,34.0,2,20,28,5,1,0,4,3,8,1,0
1380,Toni Kroos,DEU,MF,Real Madrid,La Liga,30,1990,23.5,39,25,15,21,3,8,51,15.7,43,434,114,26.3,119,240,75,32,6,0,26,22,61,11,2
1381,Filip Krovinovic,HRV,MF,West Bromwich Albion,Premier League,24,1995,6.1,16,10,6,7,3,5,18,27.8,13,103,22,21.4,36,53,14,5,0,0,5,2,18,6,0
1382,Rade Krunic,BIH,MF,AC Milan,Serie A,26,1993,8.0,16,14,5,9,2,7,24,29.2,17,166,43,25.9,61,79,26,14,2,1,12,4,20,11,0
1383,Max Kruse,DEU,FW,1.FC Union Berlin,Bundesliga,32,1988,18.1,9,4,4,4,1,2,13,15.4,11,191,62,32.5,19,104,68,17,0,0,17,5,14,7,0
1384,Lukas Kübler,DEU,DF,SC Freiburg,Bundesliga,27,1992,9.8,20,13,15,3,2,8,18,44.4,10,149,38,25.5,86,51,12,16,3,0,13,17,37,34,0
1385,Takefusa Kubo,JPN,MF,Villarreal CF,La Liga,19,2001,3.3,5,3,2,1,2,2,4,50.0,2,49,17,34.7,13,20,16,1,0,0,1,2,7,1,0
1386,Takefusa Kubo,JPN,MF,Getafe CF,La Liga,19,2001,8.9,8,5,1,5,2,1,15,6.7,14,193,51,26.4,28,87,78,22,0,0,22,12,20,7,0
1387,Juraj Kucka,SVK,MF,Parma Calcio 1913,Serie A,33,1987,25.9,62,42,27,27,8,14,57,24.6,43,497,148,29.8,147,253,97,32,4,0,28,27,89,28,0
1388,Kuki Zalazar,ESP,MF,Real Valladolid CF,La Liga,22,1998,0.3,1,1,0,0,1,0,0,,0,10,2,20.0,0,9,1,1,0,0,1,0,1,0,0
1389,Dejan Kulusevski,SWE,MF,Juventus FC,Serie A,20,2000,21.4,33,25,10,13,10,12,38,31.6,26,441,116,26.3,111,190,140,28,0,0,28,12,45,1,0
1390,Marash Kumbulla,ALB,DF,AS Roma,Serie A,20,2000,15.1,13,10,8,4,1,3,16,18.8,13,196,75,38.3,95,90,11,17,5,0,12,15,28,53,0
1391,Pierre Kunde Malong,CMR,MF,1.FSV Mainz 05,Bundesliga,25,1995,5.7,12,6,3,8,1,1,8,12.5,7,77,21,27.3,21,44,12,6,1,0,5,7,19,12,0
1392,Fabian Kunze,DEU,MF,Arminia Bielefeld,Bundesliga,22,1998,14.1,44,27,21,20,3,14,43,32.6,29,307,73,23.8,111,164,32,34,3,0,31,15,59,31,0
1393,Jasmin Kurtic,SVN,MF,Parma Calcio 1913,Serie A,31,1989,30.4,59,34,25,30,4,17,59,28.8,42,520,141,27.1,194,261,65,27,2,0,25,33,92,60,0
1394,Layvin Kurzawa,FRA,DF,Paris Saint-Germain,Ligue 1,27,1992,14.2,32,16,14,12,6,10,30,33.3,20,167,61,36.5,57,65,45,25,5,0,20,27,59,31,2
1395,Dereck Kutesa,CHE,MF,Stade Reims,Ligue 1,22,1997,7.6,15,9,7,3,5,4,17,23.5,13,128,24,18.8,47,42,39,16,1,0,15,6,21,2,0
1396,Ahmed Kutucu,TUR,FW,FC Schalke 04,Bundesliga,20,2000,1.2,1,0,0,0,1,1,1,100.0,0,29,7,24.1,4,11,14,1,0,0,1,0,1,0,0
1397,Enock Kwateng,FRA,DF,FC Girondins Bordeaux,Ligue 1,23,1997,11.5,22,14,17,4,1,15,30,50.0,15,113,38,33.6,68,30,15,23,4,0,19,26,48,37,0
1398,Antonino La Gumina,ITA,FW,UC Sampdoria,Serie A,24,1996,3.8,3,3,0,1,2,0,0,,0,75,21,28.0,2,19,54,2,1,0,1,4,7,6,0
1399,Gaëtan Laborde,FRA,FW,Montpellier HSC,Ligue 1,26,1994,36.2,53,33,24,17,12,21,79,26.6,58,518,122,23.6,106,227,185,42,3,0,39,16,69,28,0
1400,Alexandre Lacazette,FRA,FW,Arsenal FC,Premier League,29,1991,21.4,25,19,6,12,7,4,16,25.0,12,329,107,32.5,40,135,154,17,2,0,15,14,39,13,0
1401,Tom Lacoux,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,2002,5.8,23,14,11,12,0,8,31,25.8,23,168,55,32.7,65,95,8,15,2,0,13,12,35,9,0
1402,Maxence Lacroix,FRA,DF,VfL Wolfsburg,Bundesliga,20,2000,28.8,63,34,48,15,0,20,47,42.6,27,335,121,36.1,195,135,5,63,24,1,39,76,139,174,0
1403,Alban Lafont,FRA,GK,FC Nantes,Ligue 1,21,1999,38.0,0,0,0,0,0,0,0,,0,7,2,28.6,7,0,0,1,0,0,1,0,0,3,1
1404,Víctor Laguardia,ESP,DF,Deportivo Alavés,La Liga,30,1989,29.2,22,16,17,4,1,12,35,34.3,23,188,74,39.4,114,68,6,47,16,1,31,26,48,183,1
1405,Konrad Laimer,AUT,DF,RB Leipzig,Bundesliga,23,1997,0.9,2,2,0,1,1,0,3,0.0,3,31,6,19.4,5,21,5,2,0,0,2,1,3,2,0
1406,Stefan Lainer,AUT,DF,Borussia Mönchengladbach,Bundesliga,27,1992,30.8,60,39,27,22,11,27,70,38.6,43,440,136,30.9,155,192,93,77,9,0,68,40,100,88,2
1407,Diego Lainez,MEX,FW,Real Betis Balompié,La Liga,20,2000,9.6,13,9,6,4,3,5,15,33.3,10,140,36,25.7,40,66,34,17,0,0,17,16,29,6,0
1408,Kenny Lala,FRA,DF,RC Strasbourg Alsace,Ligue 1,28,1991,20.4,24,15,14,8,2,8,21,38.1,13,211,66,31.3,79,96,36,27,8,2,19,13,37,39,2
1409,Adam Lallana,ENG,MF,Brighton & Hove Albion,Premier League,32,1988,17.7,32,26,15,12,5,10,48,20.8,38,339,113,33.3,112,153,74,26,3,0,23,16,48,14,0
1410,Erik Lamela,ARG,FW,Tottenham Hotspur,Premier League,28,1992,8.0,18,11,1,13,4,4,12,33.3,8,183,49,26.8,31,102,50,8,1,0,7,4,22,1,0
1411,Sam Lammers,NLD,FW,Atalanta BC,Serie A,23,1997,3.2,3,3,0,2,1,0,5,0.0,5,44,12,27.3,2,18,24,1,1,0,0,0,3,3,0
1412,Tariq Lamptey,ENG,DF,Brighton & Hove Albion,Premier League,19,2000,9.8,17,10,9,6,2,7,14,50.0,7,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0
1413,Loïck Landre,FRA,DF,Nîmes Olympique,Ligue 1,28,1992,18.1,17,15,11,6,0,11,23,47.8,12,118,42,35.6,81,37,0,37,20,0,17,24,41,84,0
1414,Michael Langer,AUT,GK,FC Schalke 04,Bundesliga,35,1985,2.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1415,Manuel Lanzini,ARG,MF,West Ham United,Premier League,27,1993,6.3,6,6,2,3,1,2,13,15.4,11,109,37,33.9,33,48,28,15,0,0,15,6,12,5,0
1416,Gianluca Lapadula,PER,FW,Benevento Calcio,Serie A,30,1990,28.5,28,20,2,14,12,6,24,25.0,18,360,83,23.1,27,165,168,18,6,0,12,7,35,12,0
1417,Aymeric Laporte,ESP,DF,Manchester City,Premier League,26,1994,14.9,13,6,10,3,0,3,9,33.3,6,81,24,29.6,48,27,6,18,8,0,10,8,21,53,1
1418,Julien Laporte,FRA,DF,FC Lorient,Ligue 1,26,1993,29.5,69,40,48,19,2,35,73,47.9,38,315,114,36.2,218,91,6,44,26,0,18,48,117,222,2
