Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
1409,Adem Ljajic,SRB,FW,Torino FC,Serie A,26,1991,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.35,0.00,0.35,0.35,0.35
1410,Diego Llorente,ESP,DF,Real Sociedad,La Liga,24,1993,21,20,1752,19.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.00,0.02,0.02,0.02
1411,Fernando Llorente,ESP,FW,Tottenham Hotspur,Premier League,33,1985,20,6,694,7.7,1,4,1,0,0,2,0,0.13,0.52,0.65,0.13,0.65,3.0,3.0,1.3,4.3,0.39,0.17,0.56,0.39,0.56
1412,Marcos Llorente,ESP,MF,Real Madrid,La Liga,23,1995,7,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.05,0.07,0.02,0.07
1413,Hugo Lloris,FRA,GK,Tottenham Hotspur,Premier League,31,1986,33,33,2970,33.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1414,Giovani Lo Celso,ARG,MF,Paris Saint-Germain,Ligue 1,22,1996,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1415,Giovani Lo Celso,ARG,MF,Real Betis Balompié,La Liga,22,1996,32,27,2397,26.6,9,4,7,2,4,5,0,0.34,0.15,0.49,0.26,0.41,8.8,5.7,3.6,9.4,0.33,0.14,0.47,0.22,0.35
1416,Stanislav Lobotka,SVK,MF,Celta de Vigo,La Liga,23,1994,31,27,2489,27.7,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.9,1.6,0.03,0.03,0.06,0.03,0.06
1417,Jürgen Locadia,NLD,FW,Brighton & Hove Albion,Premier League,24,1993,26,12,1236,13.7,2,0,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,3.1,3.1,1.0,4.2,0.23,0.07,0.30,0.23,0.30
1418,Manuel Locatelli,ITA,MF,US Sassuolo,Serie A,20,1998,29,21,1847,20.5,2,4,2,0,0,7,0,0.10,0.19,0.29,0.10,0.29,2.3,2.3,4.0,6.3,0.11,0.20,0.31,0.11,0.31
1419,Ruben Loftus-Cheek,ENG,MF,Chelsea FC,Premier League,22,1996,24,6,998,11.1,6,2,6,0,0,0,0,0.54,0.18,0.72,0.54,0.72,2.9,2.9,1.4,4.3,0.26,0.13,0.38,0.26,0.38
1420,Enzo Loiodice,FRA,MF,Dijon FCO,Ligue 1,17,2000,12,10,850,9.4,0,1,0,0,0,4,1,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.3,0.4,0.02,0.03,0.04,0.02,0.04
1421,Kevin Long,IRL,DF,Burnley FC,Premier League,27,1990,6,5,514,5.7,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
1422,Shane Long,IRL,FW,Southampton FC,Premier League,31,1987,26,12,1272,14.1,5,1,5,0,0,3,0,0.35,0.07,0.42,0.35,0.42,4.6,4.6,1.0,5.6,0.33,0.07,0.40,0.33,0.40
1423,Samuele Longo,ITA,FW,SD Huesca,La Liga,26,1992,15,6,556,6.2,1,2,1,0,0,4,0,0.16,0.32,0.49,0.16,0.49,2.3,2.3,0.6,2.9,0.38,0.09,0.47,0.38,0.47
1424,Sean Longstaff,ENG,MF,Newcastle United,Premier League,20,1997,9,8,687,7.6,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.7,1.1,0.06,0.09,0.15,0.06,0.15
1425,Ademola Lookman,ENG,FW,Everton FC,Premier League,20,1997,21,3,618,6.9,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,1.2,1.2,1.2,2.5,0.18,0.18,0.36,0.18,0.36
1426,Anthony Lopes,PRT,GK,Olympique Lyon,Ligue 1,27,1990,34,34,3060,34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1427,Rony Lopes,PRT,FW,AS Monaco,Ligue 1,22,1995,24,22,1849,20.5,2,2,2,0,0,1,0,0.10,0.10,0.19,0.10,0.19,5.0,5.0,4.1,9.1,0.24,0.20,0.44,0.24,0.44
1428,Pedro López,ESP,DF,Levante UD,La Liga,34,1983,8,4,465,5.2,0,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.5,0.7,0.03,0.10,0.13,0.03,0.13
1429,Álex López,ESP,MF,RCD Espanyol Barcelona,La Liga,21,1997,4,1,112,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
1430,Cristian López,ESP,FW,SCO Angers,Ligue 1,29,1989,19,2,372,4.1,2,0,2,0,1,2,0,0.48,0.00,0.48,0.48,0.48,2.3,1.5,0.1,1.6,0.56,0.02,0.58,0.37,0.40
1431,David López,ESP,DF,RCD Espanyol Barcelona,La Liga,28,1989,21,21,1819,20.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.04,0.01,0.05,0.04,0.05
1432,Diego López,ESP,GK,RCD Espanyol Barcelona,La Liga,36,1981,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1433,Javi López,ESP,DF,RCD Espanyol Barcelona,La Liga,32,1986,23,21,1948,21.6,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.5,0.5,1.5,2.0,0.02,0.07,0.09,0.02,0.09
1434,Lluís López,ESP,DF,RCD Espanyol Barcelona,La Liga,21,1997,6,5,521,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
1435,Maxime López,FRA,MF,Olympique Marseille,Ligue 1,20,1997,32,25,2180,24.2,1,3,1,0,0,4,0,0.04,0.12,0.17,0.04,0.17,0.5,0.5,3.0,3.5,0.02,0.13,0.14,0.02,0.14
1436,Pau López,ESP,GK,Real Betis Balompié,La Liga,23,1994,33,33,2970,33.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1437,Roberto López,ESP,MF,Real Sociedad,La Liga,18,2000,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1438,Unai López,ESP,MF,Athletic Bilbao,La Liga,22,1995,7,3,328,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.6,0.10,0.08,0.18,0.10,0.18
1439,Jonas Lössl,DNK,GK,Huddersfield Town,Premier League,29,1989,31,30,2778,30.9,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02
1440,Albert Lottin,FRA,MF,FC Girondins Bordeaux,Ligue 1,16,2001,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1441,Imrân Louza,FRA,MF,FC Nantes,Ligue 1,19,1999,1,1,88,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08
1442,Davor Lovren,HRV,MF,Fortuna Düsseldorf,Bundesliga,19,1998,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.25,0.00,0.25,0.25,0.25
1443,Dejan Lovren,HRV,DF,Liverpool FC,Premier League,29,1989,13,11,986,11.0,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.2,1.0,0.07,0.02,0.09,0.07,0.09
1444,Chris Löwe,DEU,DF,Huddersfield Town,Premier League,29,1989,29,23,2057,22.9,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,1.6,2.1,0.02,0.07,0.09,0.02,0.09
1445,Eduard Löwen,DEU,MF,1.FC Nuremberg,Bundesliga,21,1997,22,17,1623,18.0,3,2,3,0,0,3,0,0.17,0.11,0.28,0.17,0.28,2.0,2.0,1.5,3.6,0.11,0.08,0.20,0.11,0.20
1446,Matthew Lowton,ENG,DF,Burnley FC,Premier League,29,1989,21,19,1750,19.4,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.03,0.04,0.06,0.03,0.06
1447,Choco Lozano,HND,FW,Girona FC,La Liga,25,1993,20,7,730,8.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.6,2.7,0.26,0.07,0.33,0.26,0.33
1448,Derrick Luckassen,NLD,DF,Hertha BSC,Bundesliga,23,1995,4,2,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1449,José Gayà,ESP,DF,Valencia CF,La Liga,23,1995,35,35,3137,34.9,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.8,0.8,2.1,2.9,0.02,0.06,0.08,0.02,0.08
1450,José Luis Morales,ESP,FW,Levante UD,La Liga,31,1987,37,35,3195,35.5,12,5,9,3,5,7,0,0.34,0.14,0.48,0.25,0.39,13.6,9.7,5.6,15.3,0.38,0.16,0.54,0.27,0.43
1451,José Luis Palomino,ARG,DF,Atalanta BC,Serie A,28,1990,30,25,2261,25.1,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.5,1.1,0.02,0.02,0.04,0.02,0.04
1452,Filipe Luís,BRA,DF,Atlético de Madrid,La Liga,32,1985,27,24,2030,22.6,2,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,0.7,0.7,1.1,1.9,0.03,0.05,0.08,0.03,0.08
1453,Luisinho,PRT,DF,SD Huesca,La Liga,33,1985,7,6,507,5.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.05,0.07,0.02,0.07
1454,David Luiz,BRA,DF,Chelsea FC,Premier League,31,1987,36,36,3238,36.0,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,1.9,1.9,2.7,4.7,0.05,0.08,0.13,0.05,0.13
1455,Douglas Luiz,BRA,MF,Girona FC,La Liga,20,1998,23,16,1490,16.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.4,1.4,0.06,0.02,0.09,0.06,0.09
1456,Everton Luiz,BRA,MF,SPAL,Serie A,30,1988,10,2,317,3.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03
1457,Jordan Lukaku,BEL,MF,SS Lazio,Serie A,24,1994,7,1,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03
1458,Romelu Lukaku,BEL,FW,Manchester United,Premier League,25,1993,32,22,2136,23.7,12,0,12,0,0,4,0,0.51,0.00,0.51,0.51,0.51,11.1,11.1,2.7,13.8,0.47,0.11,0.58,0.47,0.58
1459,Dodi Lukebakio,BEL,FW,Fortuna Düsseldorf,Bundesliga,20,1997,31,22,1972,21.9,10,3,6,4,6,6,0,0.46,0.14,0.59,0.27,0.41,12.7,8.1,2.3,10.4,0.58,0.10,0.68,0.37,0.47
1460,Sasa Lukic,SRB,MF,Torino FC,Serie A,21,1996,24,11,989,11.0,2,0,2,0,0,7,0,0.18,0.00,0.18,0.18,0.18,1.8,1.8,1.0,2.8,0.16,0.09,0.26,0.16,0.26
1461,Senad Lulic,BIH,DF,SS Lazio,Serie A,32,1986,35,34,2923,32.5,4,1,4,0,0,5,0,0.12,0.03,0.15,0.12,0.15,2.7,2.7,4.2,6.8,0.08,0.13,0.21,0.08,0.21
1462,Antonio Luna,ESP,DF,Levante UD,La Liga,27,1991,16,14,1258,14.0,0,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,1.5,1.9,0.02,0.11,0.13,0.02,0.13
1463,Andriy Lunin,UKR,GK,CD Leganés,La Liga,19,1999,5,4,365,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1464,Sebastiano Luperto,ITA,DF,SSC Napoli,Serie A,21,1996,12,6,728,8.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
1465,Fabian Lustenberger,CHE,DF,Hertha BSC,Bundesliga,30,1988,29,24,2172,24.1,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.4,0.5,0.00,0.02,0.02,0.00,0.02
1466,Andreas Luthe,DEU,GK,FC Augsburg,Bundesliga,31,1987,15,14,1311,14.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1467,Lyanco,BRA,DF,Torino FC,Serie A,21,1997,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1468,Lyanco,BRA,DF,Bologna FC 1909,Serie A,21,1997,13,13,1119,12.4,1,0,1,0,0,2,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.3,0.8,0.04,0.02,0.06,0.04,0.06
1469,Hervé Lybohy,NER,DF,Nîmes Olympique,Ligue 1,35,1983,17,15,1480,16.4,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.0,0.6,0.04,0.00,0.04,0.04,0.04
1470,Charalampos Lykogiannis,GRC,DF,Cagliari Calcio,Serie A,24,1993,11,9,830,9.2,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.6,0.8,0.02,0.06,0.09,0.02,0.09
1471,Yann M'Vila,FRA,MF,AS Saint-Étienne,Ligue 1,28,1990,37,37,3258,36.2,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,0.7,0.7,1.1,1.7,0.02,0.03,0.05,0.02,0.05
1472,Darwin Machís,VEN,FW,Udinese Calcio,Serie A,25,1993,13,4,463,5.1,0,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,1.3,1.3,0.6,1.9,0.26,0.12,0.38,0.26,0.38
1473,James Maddison,ENG,MF,Leicester City,Premier League,21,1996,36,35,2831,31.5,7,7,6,1,2,4,1,0.22,0.22,0.45,0.19,0.41,7.4,5.9,7.1,13.0,0.24,0.23,0.46,0.19,0.41
1474,Gary Madine,ENG,FW,Cardiff City,Premier League,27,1990,5,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1475,Pablo Maffeo,ESP,DF,VfB Stuttgart,Bundesliga,21,1997,8,8,597,6.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07
1476,Francesco Magnanelli,ITA,MF,US Sassuolo,Serie A,33,1984,26,21,1859,20.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.01,0.01,0.02,0.01,0.02
1477,Giangiacomo Magnani,ITA,DF,US Sassuolo,Serie A,22,1995,19,17,1516,16.8,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01
1478,Harry Maguire,ENG,DF,Leicester City,Premier League,25,1993,31,31,2596,28.8,3,0,3,0,0,6,1,0.10,0.00,0.10,0.10,0.10,1.5,1.5,0.3,1.8,0.05,0.01,0.06,0.05,0.06
1479,Riyad Mahrez,DZA,FW,Manchester City,Premier League,27,1991,27,14,1343,14.9,7,4,7,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.6,4.8,4.1,9.0,0.38,0.28,0.65,0.32,0.60
1480,Thiago Maia,BRA,MF,LOSC Lille,Ligue 1,21,1997,24,10,1021,11.3,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.7,0.3,0.5,0.9,0.06,0.05,0.11,0.03,0.08
1481,Raffaele Maiello,ITA,MF,Frosinone Calcio,Serie A,27,1991,29,22,2043,22.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.01,0.05,0.06,0.01,0.06
1482,Arne Maier,DEU,MF,Hertha BSC,Bundesliga,19,1999,24,23,2064,22.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.6,2.6,0.04,0.07,0.11,0.04,0.11
1483,Domenico Maietta,ITA,DF,FC Empoli,Serie A,35,1982,21,21,1714,19.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.01,0.01,0.02,0.01,0.02
1484,Mike Maignan,FRA,GK,LOSC Lille,Ligue 1,22,1995,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00
1485,Linton Maina,DEU,MF,Hannover 96,Bundesliga,19,1999,20,17,1414,15.7,1,3,1,0,0,0,0,0.06,0.19,0.25,0.06,0.25,2.1,2.1,2.8,4.8,0.13,0.18,0.31,0.13,0.31
1486,Ainsley Maitland-Niles,ENG,DF,Arsenal FC,Premier League,20,1997,16,11,987,11.0,1,1,1,0,0,2,1,0.09,0.09,0.18,0.09,0.18,0.9,0.9,1.2,2.1,0.08,0.11,0.19,0.08,0.19
1487,Josh Maja,NGA,FW,FC Girondins Bordeaux,Ligue 1,19,1998,7,3,198,2.2,1,0,1,0,0,1,0,0.45,0.00,0.45,0.45,0.45,0.6,0.6,0.0,0.6,0.27,0.02,0.29,0.27,0.29
1488,Majeed Waris,GHA,FW,FC Nantes,Ligue 1,26,1991,33,25,2246,25.0,5,3,4,1,1,3,0,0.20,0.12,0.32,0.16,0.28,5.6,4.8,2.4,7.3,0.22,0.10,0.32,0.19,0.29
1489,Jean-Victor Makengo,FRA,FW,OGC Nice,Ligue 1,20,1998,25,11,1029,11.4,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.8,2.1,0.11,0.07,0.18,0.11,0.18
1490,Nemanja Maksimovic,SRB,MF,Getafe CF,La Liga,23,1995,36,36,3209,35.7,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,2.2,2.2,0.7,2.9,0.06,0.02,0.08,0.06,0.08
1491,Nikola Maksimovic,SRB,DF,SSC Napoli,Serie A,26,1991,17,15,1375,15.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.01,0.02,0.01,0.02
1492,Malcom,BRA,FW,FC Barcelona,La Liga,21,1997,15,6,614,6.8,1,2,1,0,0,0,0,0.15,0.29,0.44,0.15,0.44,1.5,1.5,1.6,3.2,0.23,0.24,0.47,0.23,0.47
1493,Kévin Malcuit,MAR,DF,SSC Napoli,Serie A,27,1991,24,20,1805,20.1,0,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,2.4,2.7,0.01,0.12,0.13,0.01,0.13
1494,Yunus Malli,TUR,MF,VfL Wolfsburg,Bundesliga,26,1992,21,5,701,7.8,1,1,0,1,1,0,0,0.13,0.13,0.26,0.00,0.13,1.4,0.7,1.5,2.2,0.18,0.20,0.38,0.08,0.28
1495,Hugo Mallo,ESP,DF,Celta de Vigo,La Liga,27,1991,35,35,3092,34.4,1,4,1,0,0,11,0,0.03,0.12,0.15,0.03,0.15,1.4,1.4,4.0,5.3,0.04,0.12,0.16,0.04,0.16
1496,Antonio Mance,HRV,FW,FC Nantes,Ligue 1,22,1995,5,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1497,Vincent Manceau,FRA,DF,SCO Angers,Ligue 1,29,1989,31,31,2790,31.0,1,1,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.3,2.0,0.02,0.04,0.06,0.02,0.06
1498,Gianluca Mancini,ITA,DF,Atalanta BC,Serie A,22,1996,30,25,2246,25.0,5,2,5,0,0,5,0,0.20,0.08,0.28,0.20,0.28,4.1,4.1,0.5,4.6,0.16,0.02,0.18,0.16,0.18
1499,Steve Mandanda,FRA,GK,Olympique Marseille,Ligue 1,33,1985,31,31,2735,30.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1500,Reinildo Mandava,MOZ,DF,LOSC Lille,Ligue 1,24,1994,3,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.27,0.27,0.00,0.27
1501,Aïssa Mandi,DZA,DF,Real Betis Balompié,La Liga,26,1991,35,34,3059,34.0,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.2,1.9,0.02,0.04,0.06,0.02,0.06
1502,Rolando Mandragora,ITA,MF,Udinese Calcio,Serie A,21,1997,35,33,2918,32.4,3,2,3,0,0,8,1,0.09,0.06,0.15,0.09,0.15,1.8,1.8,1.9,3.7,0.05,0.06,0.11,0.05,0.11
1503,Mario Mandzukic,HRV,FW,Juventus FC,Serie A,32,1986,25,23,2014,22.4,9,6,9,0,0,4,0,0.40,0.27,0.67,0.40,0.67,5.0,5.0,2.5,7.5,0.22,0.11,0.34,0.22,0.34
1504,Sadio Mané,SEN,FW,Liverpool FC,Premier League,26,1992,36,35,3077,34.2,22,1,22,0,0,2,0,0.64,0.03,0.67,0.64,0.67,16.1,16.1,4.4,20.5,0.47,0.13,0.60,0.47,0.60
1505,Thomas Mangani,FRA,MF,SCO Angers,Ligue 1,31,1987,29,18,1598,17.8,3,0,0,3,4,2,1,0.17,0.00,0.17,0.00,0.00,4.0,0.9,3.0,3.9,0.22,0.17,0.39,0.05,0.22
1506,Konstantinos Manolas,GRC,DF,AS Roma,Serie A,27,1991,27,27,2324,25.8,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,1.2,1.2,0.2,1.3,0.05,0.01,0.05,0.05,0.05
1507,Javier Manquillo,ESP,DF,Newcastle United,Premier League,24,1994,18,12,1101,12.2,0,3,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.9,1.0,0.01,0.07,0.08,0.01,0.08
1508,Martín Mantovani,ARG,DF,SD Huesca,La Liga,34,1984,9,6,701,7.8,2,0,2,0,0,2,0,0.26,0.00,0.26,0.26,0.26,0.5,0.5,0.0,0.5,0.06,0.00,0.06,0.06,0.06
1509,Juan Manuel Valencia,COL,FW,Bologna FC 1909,Serie A,20,1998,1,0,28,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06
1510,Harrison Manzala,COD,MF,SCO Angers,Ligue 1,24,1994,8,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.73,0.00,0.73,0.73,0.73
1511,Fran Manzanara,ESP,DF,Levante UD,La Liga,21,1996,4,1,157,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.23,0.00,0.23,0.23,0.23
1512,Myziane Maolida,FRA,FW,OGC Nice,Ligue 1,19,1999,14,10,952,10.6,0,3,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,1.8,1.8,2.1,3.9,0.17,0.20,0.37,0.17,0.37
1513,Faitout Maouassa,FRA,DF,Nîmes Olympique,Ligue 1,20,1998,27,25,2137,23.7,0,1,0,0,0,2,1,0.00,0.04,0.04,0.00,0.04,0.5,0.5,0.9,1.4,0.02,0.04,0.06,0.02,0.06
1514,Marçal,BRA,DF,Olympique Lyon,Ligue 1,29,1989,12,12,878,9.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06
1515,Iván Marcano,ESP,DF,AS Roma,Serie A,31,1987,10,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,0.9,0.03,0.08,0.11,0.03,0.11
1516,Marcelo,BRA,DF,Real Madrid,La Liga,30,1988,23,21,1853,20.6,2,2,2,0,0,6,0,0.10,0.10,0.19,0.10,0.19,1.5,1.5,3.0,4.5,0.07,0.15,0.22,0.07,0.22
1517,Marcelo,BRA,DF,Olympique Lyon,Ligue 1,31,1987,33,33,2878,32.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,1.8,1.8,1.8,3.6,0.06,0.06,0.11,0.06,0.11
1518,Solly March,ENG,FW,Brighton & Hove Albion,Premier League,24,1994,35,30,2463,27.4,1,5,1,0,0,1,0,0.04,0.18,0.22,0.04,0.22,2.6,2.6,3.8,6.4,0.09,0.14,0.23,0.09,0.23
1519,Federico Marchetti,ITA,GK,Genoa CFC,Serie A,35,1983,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1520,Gian Marco Ferrari,ITA,DF,US Sassuolo,Serie A,26,1992,31,31,2790,31.0,4,0,4,0,0,9,0,0.13,0.00,0.13,0.13,0.13,2.8,2.8,0.3,3.1,0.09,0.01,0.10,0.09,0.10
1521,Óscar de Marcos,ESP,DF,Athletic Bilbao,La Liga,29,1989,30,28,2421,26.9,1,2,1,0,0,7,2,0.04,0.07,0.11,0.04,0.11,1.2,1.2,2.6,3.8,0.05,0.09,0.14,0.05,0.14
1522,Georg Margreitter,AUT,DF,1.FC Nuremberg,Bundesliga,29,1988,27,22,2064,22.9,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.3,1.4,0.04,0.02,0.06,0.04,0.06
1523,Miguel Marí,ESP,MF,SD Eibar,La Liga,21,1997,2,0,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1524,José María Giménez,URY,DF,Atlético de Madrid,La Liga,23,1995,21,19,1772,19.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,1.2,0.04,0.02,0.06,0.04,0.06
1525,Mariano Díaz,DOM,FW,Real Madrid,La Liga,24,1993,13,3,447,5.0,3,0,3,0,0,2,0,0.60,0.00,0.60,0.60,0.60,2.9,2.9,0.8,3.7,0.58,0.16,0.74,0.58,0.74
