Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribSucc,DribAtt,DribSucc%,DribPl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,PR_Prog
77,Ibrahim Amadou,FRA,MF,Sevilla FC,La Liga,25,1993,8.5,450,31,157,265,54,6,444,7,10,70.0,8,0,283,1259,598,21,8,0,4,3,306,279,91.2,12
78,Romain Amalfitano,FRA,MF,Dijon FCO,Ligue 1,28,1989,28.0,1395,55,307,914,260,17,1378,28,49,57.1,33,1,1009,5469,2711,126,35,2,39,38,1029,911,88.5,66
79,Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,7.1,497,42,188,275,62,3,444,1,3,33.3,2,0,306,1105,565,22,8,0,2,4,289,274,94.8,4
80,Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,30.7,1598,166,811,850,53,14,1527,21,24,87.5,21,0,979,5998,3454,74,19,0,9,9,959,927,96.7,13
81,Amath Ndiaye,SEN,MF,Getafe CF,La Liga,22,1996,11.1,390,11,57,177,189,49,388,22,41,53.7,24,2,289,1501,941,43,13,11,32,27,393,237,60.3,80
82,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,24,1994,24.2,1640,84,489,830,437,26,1405,27,45,60.0,28,3,933,4839,2945,127,55,9,28,35,914,841,92.0,57
83,Kelvin Amian,FRA,DF,FC Toulouse,Ligue 1,20,1998,32.0,1527,122,554,782,307,17,1297,26,40,65.0,29,1,835,4748,2972,135,51,3,16,19,822,734,89.3,39
84,Nadiem Amiri,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,21,1996,8.4,488,8,70,284,181,30,477,18,26,69.2,19,2,383,2027,1075,62,22,9,6,14,399,352,88.2,51
85,Yanis Ammour,FRA,MF,Montpellier HSC,Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0
86,Luke Amos,ENG,MF,Tottenham Hotspur,Premier League,21,1997,0.0,4,0,1,3,0,0,4,0,0,,0,0,1,0,0,0,0,0,1,0,1,1,100.0,0
87,Joachim Andersen,DNK,DF,UC Sampdoria,Serie A,22,1996,32.0,2307,345,1135,1281,69,18,2222,14,15,93.3,14,0,1529,8527,5332,103,14,0,3,8,1598,1576,98.6,15
88,Felipe Anderson,BRA,FW,West Ham United,Premier League,25,1993,33.8,2299,33,332,1185,1039,127,2177,84,153,54.9,89,13,1822,11171,6892,306,129,47,71,71,1922,1650,85.8,184
89,Florin Andone,ROU,FW,Brighton & Hove Albion,Premier League,25,1993,9.8,343,14,52,146,175,47,336,13,32,40.6,16,3,221,815,417,19,4,6,42,32,544,241,44.3,93
90,Benjamin André,FRA,MF,Stade Rennais FC,Ligue 1,27,1990,27.7,1855,65,370,1156,444,51,1823,27,42,64.3,31,0,1240,5897,2897,129,49,0,35,39,1377,1205,87.5,181
91,Marco Andreolli,ITA,DF,Cagliari Calcio,Serie A,32,1986,1.2,82,13,45,40,1,1,82,0,0,,0,0,52,184,98,1,0,0,0,0,62,60,96.8,1
92,Marco Andreolli,ITA,DF,Chievo Verona,Serie A,32,1986,7.2,315,45,192,127,6,4,308,1,1,100.0,1,0,164,697,263,4,0,0,2,1,193,186,96.4,3
93,Yoann Andreu,FRA,DF,SCO Angers,Ligue 1,29,1989,0.0,3,0,0,2,1,0,2,0,0,,0,0,1,0,0,0,0,0,0,1,1,1,100.0,0
94,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11.0,393,336,389,5,0,0,291,1,1,100.0,1,0,211,778,505,0,0,0,1,0,188,187,99.5,0
95,José Ángel,ESP,DF,SD Eibar,La Liga,28,1989,33.6,2498,99,600,1307,780,21,1984,53,68,77.9,54,1,1416,7767,3827,174,79,5,20,17,1289,1235,95.8,29
96,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,31,1986,20.1,1141,44,259,506,510,45,951,59,95,62.1,61,2,785,5548,3326,145,67,7,25,34,778,665,85.5,51
97,Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,23.7,821,6,58,392,432,104,779,29,51,56.9,29,0,641,3180,1279,83,27,17,66,47,968,622,64.3,232
98,Waldemar Anton,DEU,DF,Hannover 96,Bundesliga,22,1996,34.0,2105,264,1209,987,92,31,2032,21,27,77.8,22,0,1337,8886,4822,93,18,2,13,19,1265,1241,98.1,27
99,Luca Antonelli,ITA,DF,FC Empoli,Serie A,31,1987,8.4,494,39,162,240,131,23,445,5,8,62.5,5,0,296,1649,1149,44,22,3,12,4,307,285,92.8,18
100,Mauro Burruchaga,ARG,MF,Chievo Verona,Serie A,20,1998,0.6,49,3,16,32,7,0,47,0,2,0.0,0,0,35,173,112,6,2,0,0,3,29,28,96.6,1
101,Michail Antonio,ENG,FW,West Ham United,Premier League,28,1990,23.4,1225,39,175,564,594,116,1168,57,92,62.0,63,1,853,4759,2860,148,42,26,84,89,1284,849,66.1,207
102,Antoñito,ESP,DF,Real Valladolid CF,La Liga,30,1987,20.7,1101,47,280,517,395,20,945,29,42,69.0,30,2,714,3643,2279,123,45,6,28,27,785,672,85.6,47
103,Vitorino Antunes,PRT,DF,Getafe CF,La Liga,31,1987,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,3714,2016,97,39,7,20,18,729,629,86.3,48
104,Anuar,MAR,MF,Real Valladolid CF,La Liga,23,1995,12.0,535,35,168,324,83,15,525,3,5,60.0,4,0,311,2016,1108,31,10,3,10,12,399,294,73.7,23
105,Dennis Aogo,DEU,MF,VfB Stuttgart,Bundesliga,31,1987,11.4,645,22,152,406,123,9,587,4,6,66.7,4,1,416,1735,766,29,9,1,4,6,428,406,94.9,12
106,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,20,1998,34.0,2472,37,354,1629,682,122,2447,67,103,65.0,72,1,2048,10501,5282,269,74,24,62,50,2207,1977,89.6,214
