Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
210,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,27,1991,12.7,469,550,85.3,9249,2673,192,205,93.7,205,218,94.0,68,118,57.6,0,0.0,0.0,2,39,0,0,19
211,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,8.3,111,162,68.5,1614,301,68,87,78.2,27,41,65.9,11,19,57.9,0,0.1,-0.1,1,5,2,0,7
212,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,5.9,106,140,75.7,1789,315,59,75,78.7,32,43,74.4,13,16,81.3,0,0.7,-0.7,8,5,4,0,8
213,Robert Bauer\Robert-Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,19.1,594,827,71.8,11390,5284,238,283,84.1,277,349,79.4,72,164,43.9,0,0.6,-0.6,11,63,8,5,63
214,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,1015,1289,78.7,28202,17507,241,242,99.6,426,435,97.9,338,599,56.4,1,0.6,+0.4,3,23,0,0,0
215,Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18.0,717,865,82.9,15481,6271,223,247,90.3,362,404,89.6,131,203,64.5,0,0.0,0.0,2,40,5,2,40
216,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,17.3,1249,1394,89.6,22638,4905,579,640,90.5,479,523,91.6,163,187,87.2,1,0.9,+0.1,12,98,11,0,94
217,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,de Bundesliga,18,1999,0.9,23,36,63.9,394,90,12,18,66.7,9,13,69.2,2,4,50.0,0,0.0,0.0,0,4,0,0,5
218,Jon Bautista\Jon-Bautista,es ESP,FW,Real Sociedad,es La Liga,23,1995,6.6,83,136,61.0,1147,209,49,78,62.8,26,43,60.5,4,5,80.0,0,0.1,-0.1,3,5,2,0,9
219,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,30,1988,0.8,25,34,73.5,540,239,10,11,90.9,10,13,76.9,5,9,55.6,0,0.0,0.0,0,1,0,0,3
220,Paul Baysse\Paul-Baysse,fr FRA,DF,Caen,fr Ligue 1,30,1988,19.9,662,813,81.4,16254,5133,142,165,86.1,328,366,89.6,187,268,69.8,0,0.2,-0.2,3,32,1,0,30
221,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FW,Hannover 96,de Bundesliga,21,1996,1.7,11,22,50.0,154,38,6,8,75.0,5,7,71.4,0,4,0.0,0,0.0,0.0,0,0,0,0,1
222,Claudio Beauvue\Claudio-Beauvue,GPE,FW,Caen,fr Ligue 1,30,1988,16.7,248,389,63.8,4032,863,136,191,71.2,81,127,63.8,24,48,50.0,0,1.5,-1.5,14,15,10,6,23
223,Bebé\Bebe,pt POR,FWMF,Rayo Vallecano,es La Liga,28,1990,14.5,317,527,60.2,5820,1443,166,216,76.9,102,156,65.4,42,122,34.4,1,2.3,-1.3,20,27,16,15,28
224,Bebé\Bebe,pt POR,MF,Eibar,es La Liga,28,1990,0.7,20,32,62.5,358,61,11,12,91.7,7,12,58.3,2,7,28.6,0,0.2,-0.2,1,0,1,1,1
225,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hannover 96,de Bundesliga,24,1994,11.8,295,442,66.7,5206,1744,140,187,74.9,120,164,73.2,31,66,47.0,3,1.8,+1.2,14,26,17,6,46
226,Uffe Bech\Uffe-Bech,dk DEN,FW,Hannover 96,de Bundesliga,25,1993,0.2,8,11,72.7,112,32,4,5,80.0,3,3,100.0,0,1,0.0,0,0.3,-0.3,2,0,0,0,1
227,Andreas Beck\Andreas-Beck,de GER,DFMF,Stuttgart,de Bundesliga,31,1987,19.7,615,868,70.9,11863,5224,251,301,83.4,263,338,77.8,93,192,48.4,2,1.0,+1.0,14,48,15,9,57
228,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,22,1996,23.9,591,849,69.6,12101,5559,194,244,79.5,301,393,76.6,90,197,45.7,1,0.5,+0.5,7,53,2,0,61
229,Andrea Beghetto\Andrea-Beghetto,it ITA,DFMF,Frosinone,it Serie A,23,1994,24.7,696,1095,63.6,14587,6402,249,301,82.7,296,409,72.4,141,327,43.1,3,3.7,-0.7,50,48,54,46,72
230,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24.0,431,633,68.1,14901,10075,39,39,100.0,208,209,99.5,184,385,47.8,0,0.0,0.0,0,4,0,0,0
231,Valon Behrami\Valon-Behrami,ch SUI,MF,Udinese,it Serie A,33,1985,15.1,396,492,80.5,6534,1650,187,223,83.9,161,193,83.4,36,55,65.5,0,0.4,-0.4,6,20,0,0,25
232,Hanno Behrens\Hanno-Behrens,de GER,MF,Nürnberg,de Bundesliga,28,1990,29.3,620,909,68.2,10300,2853,292,399,73.2,261,347,75.2,56,126,44.4,1,1.6,-0.6,19,45,14,1,68
233,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,26,1992,20.7,326,455,71.6,4543,904,201,254,79.1,99,152,65.1,12,22,54.5,3,3.5,-0.5,26,18,9,1,31
234,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,26,1991,25.0,969,1211,80.0,22899,9091,235,262,89.7,485,557,87.1,240,369,65.0,0,1.1,-1.1,20,125,19,3,133
235,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,28,1990,11.7,342,493,69.4,5588,1806,193,238,81.1,107,167,64.1,38,63,60.3,4,4.5,-0.5,23,13,32,14,48
236,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,23,1995,17.0,794,947,83.8,13510,4477,371,410,90.5,352,410,85.9,60,94,63.8,5,2.1,+2.9,9,48,27,5,87
237,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,24,1993,36.7,529,809,65.4,7762,1922,303,421,72.0,160,245,65.3,38,67,56.7,3,4.0,-1.0,34,42,25,2,69
238,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,19,1999,16.9,798,884,90.3,14720,2870,334,368,90.8,348,375,92.8,104,122,85.2,0,0.7,-0.7,11,53,6,0,52
239,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Rennes,fr Ligue 1,31,1987,22.6,747,926,80.7,13215,3314,382,431,88.6,262,299,87.6,95,172,55.2,2,3.1,-1.1,35,77,28,2,89
