Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2,43,7,16.3,1.40,0.23,0.05,0.29,18.8,8,0,0,2.7,2.7,0.06,-0.7,-0.7
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,1,4,2,50.0,0.63,0.32,0.25,0.50,20.2,0,0,0,0.3,0.3,0.06,+0.7,+0.7
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,0,2,0,0.0,0.17,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,8.4,0,0,0,1.4,1.0,0.10,-1.4,-1.0
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,4,17,5,29.4,0.52,0.15,0.24,0.80,18.8,8,0,0,2.2,2.2,0.13,+1.8,+1.8
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,1,27,6,22.2,1.50,0.33,0.04,0.17,21.6,2,0,0,2.2,2.2,0.08,-1.2,-1.2
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0,1,0,0.0,10.00,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,0,9,3,33.3,1.06,0.35,0.00,0.00,19.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,0,20,4,20.0,0.71,0.14,0.00,0.00,25.0,0,0,0,0.6,0.6,0.03,-0.6,-0.6
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,0,4,1,25.0,0.56,0.14,0.00,0.00,20.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,0,7,1,14.3,0.23,0.03,0.00,0.00,7.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,1,14,6,42.9,1.26,0.54,0.07,0.17,17.5,0,0,0,1.6,1.6,0.11,-0.6,-0.6
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,0,25,5,20.0,1.03,0.21,0.00,0.00,24.1,0,0,0,0.6,0.6,0.02,-0.6,-0.6
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,0,18,4,22.2,0.56,0.12,0.00,0.00,25.5,0,0,0,0.5,0.5,0.03,-0.5,-0.5
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,3,19,6,31.6,2.27,0.72,0.16,0.50,17.9,0,0,0,2.2,2.2,0.11,+0.8,+0.8
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,0,13,5,38.5,0.41,0.16,0.00,0.00,13.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,18.1,5,0,0,5.2,5.2,0.09,+3.8,+3.8
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,3,19,7,36.8,1.94,0.72,0.16,0.43,11.4,0,0,0,2.2,2.2,0.12,+0.8,+0.8
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,3,32,9,28.1,1.15,0.32,0.09,0.33,12.2,0,0,0,3.3,3.3,0.10,-0.3,-0.3
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0,1,1,100.0,0.85,0.85,0.00,0.00,9.9,0,0,0,0.0,0.0,0.02,0.0,0.0
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,0,3,1,33.3,0.42,0.14,0.00,0.00,9.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1,24,4,16.7,0.71,0.12,0.04,0.25,27.0,4,0,0,0.7,0.7,0.03,+0.3,+0.3
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,3,36,7,19.4,1.79,0.35,0.08,0.43,25.8,5,0,0,1.4,1.4,0.04,+1.6,+1.6
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,5,51,16,31.4,2.15,0.68,0.08,0.25,17.7,1,1,2,6.7,5.1,0.10,-1.7,-1.1
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1,20,4,20.0,0.59,0.12,0.05,0.25,14.5,0,0,0,1.2,1.2,0.06,-0.2,-0.2
